XZDZDUVWPRYH_8	0.01	160	900	0.5	8	gene1945	449	449	242	gene1945	2.45E-02	9.59E-03	9.55E-03	2.80E-01	1.08E-01	8.64E-02
XZDZDUVWPRYH_9	0.01	160	900	0.5	9	gene1945	449	449	242	gene1945	2.34E-02	4.69E-02	4.80E-02	2.19E-01	1.10E-01	6.60E-02
XZDZDUVWPRYH_10	0.01	160	900	0.5	10	gene1945	449	449	242	gene1945	2.56E-02	5.26E-01	5.27E-01	6.69E-02	1.06E-01	2.11E-02
VXXBYEVDQAHE_1	0.01	160	1000	0.5	1	gene1945	499	499	142	gene1945	2.51E-02	1.56E-01	1.81E-01	1.38E-01	1.03E-01	4.24E-02
VXXBYEVDQAHE_2	0.01	160	1000	0.5	2	gene1945	499	499	142	gene1945	2.51E-02	2.59E-02	2.59E-02	2.26E-01	1.01E-01	7.05E-02
VXXBYEVDQAHE_3	0.01	160	1000	0.5	3	gene1945	499	499	142	gene1945	2.51E-02	2.59E-02	3.29E-02	2.19E-01	1.02E-01	6.75E-02
VXXBYEVDQAHE_4	0.01	160	1000	0.5	4	gene1945	499	499	142	gene1945	2.51E-02	2.59E-02	2.78E-02	2.23E-01	1.01E-01	6.96E-02
VXXBYEVDQAHE_5	0.01	160	1000	0.5	5	gene1945	499	499	142	gene1945	2.51E-02	2.38E-03	2.35E-03	3.08E-01	1.01E-01	9.62E-02
VXXBYEVDQAHE_6	0.01	160	1000	0.5	6	gene1945	499	499	142	gene1945	2.51E-02	2.59E-02	2.22E-02	2.32E-01	1.02E-01	7.24E-02
VXXBYEVDQAHE_7	0.01	160	1000	0.5	7	gene1945	499	499	142	gene1945	2.51E-02	2.38E-03	2.35E-03	3.08E-01	1.01E-01	9.62E-02
VXXBYEVDQAHE_8	0.01	160	1000	0.5	8	gene1945	499	499	142	gene1945	2.51E-02	6.83E-02	6.86E-02	1.85E-01	1.01E-01	5.77E-02
VXXBYEVDQAHE_9	0.01	160	1000	0.5	9	gene1945	499	499	142	gene1945	2.51E-02	5.43E-01	5.44E-01	6.15E-02	1.01E-01	1.92E-02
VXXBYEVDQAHE_10	0.01	160	1000	0.5	10	gene1945	499	499	142	gene1945	2.51E-02	1.56E-01	1.33E-01	1.53E-01	1.02E-01	4.76E-02
FVBHLANZWHRW_1	0.025	1.5	100	0.5	1	gene1945	49	49	1042	gene1945	3.06E-02	7.85E-02	8.00E-02	5.16E-01	2.92E-01	1.78E-01	bad-chisq
FVBHLANZWHRW_2	0.025	1.5	100	0.5	2	gene1945	49	49	1042	gene1945	3.06E-02	5.58E-01	5.62E-01	-1.72E-01	2.96E-01	5.92E-02	bad-chisq
FVBHLANZWHRW_3	0.025	1.5	100	0.5	3	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
FVBHLANZWHRW_4	0.025	1.5	100	0.5	4	gene1945	49	49	1042	gene1945	2.04E-02	1.53E-01	1.56E-01	5.10E-01	3.57E-01	1.44E-01	bad-chisq
FVBHLANZWHRW_5	0.025	1.5	100	0.5	5	gene1945	49	49	1042	gene1945	3.06E-02	7.85E-02	8.85E-02	5.09E-01	2.96E-01	1.73E-01	bad-chisq
FVBHLANZWHRW_6	0.025	1.5	100	0.5	6	gene1945	49	49	1042	gene1945	4.08E-02	3.07E-01	4.64E-01	1.92E-01	2.61E-01	7.48E-02	bad-chisq
FVBHLANZWHRW_7	0.025	1.5	100	0.5	7	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	2.35E-01	6.21E-01	5.20E-01	1.21E-01	bad-chisq
FVBHLANZWHRW_8	0.025	1.5	100	0.5	8	gene1945	49	49	1042	gene1945	3.06E-02	5.58E-01	5.62E-01	1.72E-01	2.96E-01	5.92E-02	bad-chisq
FVBHLANZWHRW_9	0.025	1.5	100	0.5	9	gene1945	49	49	1042	gene1945	2.04E-02	1.53E-01	1.56E-01	5.10E-01	3.57E-01	1.44E-01	bad-chisq
FVBHLANZWHRW_10	0.025	1.5	100	0.5	10	gene1945	49	49	1042	gene1945	4.08E-02	3.07E-01	3.12E-01	2.61E-01	2.57E-01	1.03E-01	bad-chisq
ATLVAQFVADRA_1	0.025	1.5	200	0.5	1	gene1945	99	99	942	gene1945	4.55E-02	7.33E-01	7.35E-01	5.82E-02	1.71E-01	2.42E-02	bad-chisq
ATLVAQFVADRA_2	0.025	1.5	200	0.5	2	gene1945	99	99	942	gene1945	3.03E-02	4.07E-01	4.10E-01	-1.72E-01	2.08E-01	5.89E-02	bad-chisq
ATLVAQFVADRA_3	0.025	1.5	200	0.5	3	gene1945	99	99	942	gene1945	4.55E-02	7.33E-01	7.37E-01	-5.76E-02	1.72E-01	2.40E-02	bad-chisq
ATLVAQFVADRA_4	0.025	1.5	200	0.5	4	gene1945	99	99	942	gene1945	3.54E-02	7.00E-01	7.02E-01	7.40E-02	1.93E-01	2.73E-02	bad-chisq
ATLVAQFVADRA_5	0.025	1.5	200	0.5	5	gene1945	99	99	942	gene1945	4.04E-02	4.70E-01	3.65E-01	-1.67E-01	1.84E-01	6.47E-02	bad-chisq
ATLVAQFVADRA_6	0.025	1.5	200	0.5	6	gene1945	99	99	942	gene1945	2.53E-02	6.51E-01	6.53E-01	-1.03E-01	2.28E-01	3.22E-02	bad-chisq
ATLVAQFVADRA_7	0.025	1.5	200	0.5	7	gene1945	99	99	942	gene1945	4.55E-02	3.06E-01	3.08E-01	-1.75E-01	1.71E-01	7.27E-02
ATLVAQFVADRA_8	0.025	1.5	200	0.5	8	gene1945	99	99	942	gene1945	3.54E-02	2.48E-01	2.13E-01	-2.45E-01	1.96E-01	8.90E-02	bad-chisq
ATLVAQFVADRA_9	0.025	1.5	200	0.5	9	gene1945	99	99	942	gene1945	3.54E-02	7.00E-01	9.19E-01	-2.00E-02	1.97E-01	7.25E-03	bad-chisq
ATLVAQFVADRA_10	0.025	1.5	200	0.5	10	gene1945	99	99	942	gene1945	6.06E-02	2.34E-01	2.18E-01	1.87E-01	1.51E-01	8.80E-02
YEXWOPEYAPNY_1	0.025	1.5	300	0.5	1	gene1945	149	149	842	gene1945	4.36E-02	7.77E-01	9.04E-01	1.75E-02	1.46E-01	6.99E-03
YEXWOPEYAPNY_2	0.025	1.5	300	0.5	2	gene1945	149	149	842	gene1945	3.02E-02	7.35E-01	7.36E-01	-5.73E-02	1.70E-01	1.96E-02	bad-chisq
YEXWOPEYAPNY_3	0.025	1.5	300	0.5	3	gene1945	149	149	842	gene1945	3.02E-02	7.35E-01	7.36E-01	-5.73E-02	1.70E-01	1.96E-02	bad-chisq
YEXWOPEYAPNY_4	0.025	1.5	300	0.5	4	gene1945	149	149	842	gene1945	3.02E-02	7.35E-01	7.36E-01	5.73E-02	1.70E-01	1.96E-02	bad-chisq
YEXWOPEYAPNY_5	0.025	1.5	300	0.5	5	gene1945	149	149	842	gene1945	3.69E-02	7.59E-01	7.60E-01	4.72E-02	1.54E-01	1.78E-02
YEXWOPEYAPNY_6	0.025	1.5	300	0.5	6	gene1945	149	149	842	gene1945	4.03E-02	7.71E-02	7.75E-02	2.60E-01	1.47E-01	1.02E-01
YEXWOPEYAPNY_7	0.025	1.5	300	0.5	7	gene1945	149	149	842	gene1945	3.69E-02	7.59E-01	7.60E-01	4.72E-02	1.54E-01	1.78E-02
YEXWOPEYAPNY_8	0.025	1.5	300	0.5	8	gene1945	149	149	842	gene1945	4.03E-02	2.39E-01	2.98E-01	1.54E-01	1.48E-01	6.05E-02
YEXWOPEYAPNY_9	0.025	1.5	300	0.5	9	gene1945	149	149	842	gene1945	4.36E-02	7.77E-01	7.78E-01	4.02E-02	1.42E-01	1.64E-02
YEXWOPEYAPNY_10	0.025	1.5	300	0.5	10	gene1945	149	149	842	gene1945	2.35E-02	2.51E-01	2.53E-01	2.19E-01	1.91E-01	6.65E-02	bad-chisq
JZAIAHUDPLGZ_1	0.025	1.5	400	0.5	1	gene1945	199	199	742	gene1945	3.52E-02	5.86E-01	5.87E-01	7.40E-02	1.36E-01	2.73E-02
JZAIAHUDPLGZ_2	0.025	1.5	400	0.5	2	gene1945	199	199	742	gene1945	4.02E-02	6.10E-01	6.01E-01	6.80E-02	1.30E-01	2.63E-02
JZAIAHUDPLGZ_3	0.025	1.5	400	0.5	3	gene1945	199	199	742	gene1945	4.02E-02	3.07E-01	2.72E-01	1.42E-01	1.29E-01	5.52E-02
JZAIAHUDPLGZ_4	0.025	1.5	400	0.5	4	gene1945	199	199	742	gene1945	5.03E-02	6.46E-01	5.98E-01	6.10E-02	1.16E-01	2.65E-02
JZAIAHUDPLGZ_6	0.025	1.5	400	0.5	6	gene1945	199	199	742	gene1945	3.52E-02	5.86E-01	7.21E-01	4.98E-02	1.39E-01	1.80E-02
JZAIAHUDPLGZ_7	0.025	1.5	400	0.5	7	gene1945	199	199	742	gene1945	4.02E-02	3.07E-01	3.09E-01	-1.30E-01	1.28E-01	5.12E-02
JZAIAHUDPLGZ_8	0.025	1.5	400	0.5	8	gene1945	199	199	742	gene1945	4.52E-02	6.29E-01	6.31E-01	5.82E-02	1.21E-01	2.42E-02
JZAIAHUDPLGZ_9	0.025	1.5	400	0.5	9	gene1945	199	199	742	gene1945	3.02E-02	5.58E-01	5.59E-01	-8.59E-02	1.47E-01	2.94E-02
JZAIAHUDPLGZ_10	0.025	1.5	400	0.5	10	gene1945	199	199	742	gene1945	4.52E-02	1.48E-01	1.49E-01	1.75E-01	1.21E-01	7.25E-02
MZBLUZXUGEJM_1	0.025	1.5	500	0.5	1	gene1945	249	249	642	gene1945	3.61E-02	6.31E-01	6.59E-01	5.33E-02	1.21E-01	1.98E-02
MZBLUZXUGEJM_3	0.025	1.5	500	0.5	3	gene1945	249	249	642	gene1945	4.22E-02	1.19E-01	1.34E-01	1.69E-01	1.12E-01	6.72E-02
MZBLUZXUGEJM_4	0.025	1.5	500	0.5	4	gene1945	249	249	642	gene1945	3.82E-02	8.15E-01	8.44E-01	-2.32E-02	1.18E-01	8.85E-03
MZBLUZXUGEJM_5	0.025	1.5	500	0.5	5	gene1945	249	249	642	gene1945	3.61E-02	3.37E-01	3.79E-01	1.06E-01	1.21E-01	3.95E-02
MZBLUZXUGEJM_7	0.025	1.5	500	0.5	7	gene1945	249	249	642	gene1945	3.61E-02	6.31E-01	6.32E-01	5.76E-02	1.20E-01	2.15E-02
MZBLUZXUGEJM_8	0.025	1.5	500	0.5	8	gene1945	249	249	642	gene1945	4.02E-02	1.71E-01	1.72E-01	1.56E-01	1.14E-01	6.14E-02
MZBLUZXUGEJM_9	0.025	1.5	500	0.5	9	gene1945	249	249	642	gene1945	3.82E-02	2.42E-01	2.43E-01	1.37E-01	1.17E-01	5.24E-02
MZBLUZXUGEJM_10	0.025	1.5	500	0.5	10	gene1945	249	249	642	gene1945	3.61E-02	6.31E-01	6.32E-01	5.76E-02	1.20E-01	2.15E-02
KDVEUZHXNUMA_1	0.025	1.5	600	0.5	1	gene1945	299	299	542	gene1945	3.68E-02	6.64E-01	6.65E-01	-4.72E-02	1.09E-01	1.78E-02
KDVEUZHXNUMA_2	0.025	1.5	600	0.5	2	gene1945	299	299	542	gene1945	3.68E-02	6.64E-01	6.65E-01	4.72E-02	1.09E-01	1.78E-02
KDVEUZHXNUMA_3	0.025	1.5	600	0.5	3	gene1945	299	299	542	gene1945	3.68E-02	3.85E-01	3.76E-01	9.73E-02	1.10E-01	3.63E-02
KDVEUZHXNUMA_5	0.025	1.5	600	0.5	5	gene1945	299	299	542	gene1945	4.52E-02	5.55E-01	7.54E-01	3.14E-02	1.00E-01	1.28E-02
KDVEUZHXNUMA_6	0.025	1.5	600	0.5	6	gene1945	299	299	542	gene1945	3.34E-02	3.63E-01	3.64E-01	-1.03E-01	1.14E-01	3.72E-02
KDVEUZHXNUMA_9	0.025	1.5	600	0.5	9	gene1945	299	299	542	gene1945	3.85E-02	8.32E-01	8.32E-01	-2.26E-02	1.06E-01	8.70E-03
KDVEUZHXNUMA_10	0.025	1.5	600	0.5	10	gene1945	299	299	542	gene1945	3.85E-02	8.32E-01	8.32E-01	2.26E-02	1.06E-01	8.70E-03
BLFCKMCKGKRZ_1	0.025	1.5	700	0.5	1	gene1945	349	349	442	gene1945	4.15E-02	1.84E-01	1.97E-01	1.23E-01	9.51E-02	4.89E-02
BLFCKMCKGKRZ_2	0.025	1.5	700	0.5	2	gene1945	349	349	442	gene1945	3.72E-02	4.24E-01	4.67E-01	-7.31E-02	1.00E-01	2.76E-02
BLFCKMCKGKRZ_3	0.025	1.5	700	0.5	3	gene1945	349	349	442	gene1945	4.15E-02	8.50E-01	7.00E-01	3.71E-02	9.60E-02	1.46E-02
BLFCKMCKGKRZ_4	0.025	1.5	700	0.5	4	gene1945	349	349	442	gene1945	3.72E-02	4.24E-01	4.25E-01	7.99E-02	1.00E-01	3.03E-02
BLFCKMCKGKRZ_5	0.025	1.5	700	0.5	5	gene1945	349	349	442	gene1945	4.01E-02	7.00E-01	7.30E-01	3.38E-02	9.77E-02	1.31E-02
BLFCKMCKGKRZ_6	0.025	1.5	700	0.5	6	gene1945	349	349	442	gene1945	3.87E-02	8.44E-01	8.45E-01	-1.93E-02	9.83E-02	7.43E-03
BLFCKMCKGKRZ_7	0.025	1.5	700	0.5	7	gene1945	349	349	442	gene1945	4.30E-02	7.09E-01	7.09E-01	3.48E-02	9.34E-02	1.41E-02
BLFCKMCKGKRZ_8	0.025	1.5	700	0.5	8	gene1945	349	349	442	gene1945	3.87E-02	5.56E-01	5.57E-01	-5.78E-02	9.83E-02	2.23E-02
BLFCKMCKGKRZ_9	0.025	1.5	700	0.5	9	gene1945	349	349	442	gene1945	4.30E-02	6.20E-02	5.04E-02	1.84E-01	9.40E-02	7.41E-02
BLFCKMCKGKRZ_10	0.025	1.5	700	0.5	10	gene1945	349	349	442	gene1945	4.01E-02	4.40E-01	4.41E-01	7.44E-02	9.65E-02	2.92E-02
PAAOTOXCTQIH_1	0.025	1.5	800	0.5	1	gene1945	399	399	342	gene1945	4.14E-02	2.13E-01	2.17E-01	1.11E-01	8.97E-02	4.37E-02
PAAOTOXCTQIH_4	0.025	1.5	800	0.5	4	gene1945	399	399	342	gene1945	3.88E-02	2.00E-01	1.75E-01	1.25E-01	9.18E-02	4.81E-02
PAAOTOXCTQIH_5	0.025	1.5	800	0.5	5	gene1945	399	399	342	gene1945	3.63E-02	8.50E-01	8.50E-01	-1.79E-02	9.47E-02	6.70E-03
PAAOTOXCTQIH_6	0.025	1.5	800	0.5	6	gene1945	399	399	342	gene1945	3.88E-02	2.00E-01	1.87E-01	1.22E-01	9.22E-02	4.67E-02
PAAOTOXCTQIH_7	0.025	1.5	800	0.5	7	gene1945	399	399	342	gene1945	4.14E-02	8.59E-01	8.71E-01	1.45E-02	8.93E-02	5.77E-03
PAAOTOXCTQIH_8	0.025	1.5	800	0.5	8	gene1945	399	399	342	gene1945	3.88E-02	5.83E-01	6.57E-01	4.11E-02	9.26E-02	1.57E-02
PAAOTOXCTQIH_10	0.025	1.5	800	0.5	10	gene1945	399	399	342	gene1945	4.01E-02	1.49E-01	2.40E-01	1.09E-01	9.26E-02	4.16E-02
HQEPHWNJWTPJ_1	0.025	1.5	900	0.5	1	gene1945	449	449	242	gene1945	3.56E-02	7.19E-01	7.19E-01	3.24E-02	9.01E-02	1.20E-02
HQEPHWNJWTPJ_2	0.025	1.5	900	0.5	2	gene1945	449	449	242	gene1945	4.12E-02	8.67E-01	8.67E-01	1.41E-02	8.40E-02	5.60E-03
HQEPHWNJWTPJ_3	0.025	1.5	900	0.5	3	gene1945	449	449	242	gene1945	4.01E-02	1.74E-01	1.30E-01	1.33E-01	8.80E-02	5.06E-02
HQEPHWNJWTPJ_4	0.025	1.5	900	0.5	4	gene1945	449	449	242	gene1945	3.90E-02	3.89E-01	3.89E-01	7.43E-02	8.63E-02	2.88E-02
HQEPHWNJWTPJ_5	0.025	1.5	900	0.5	5	gene1945	449	449	242	gene1945	3.90E-02	3.89E-01	3.85E-01	7.50E-02	8.64E-02	2.90E-02
HQEPHWNJWTPJ_6	0.025	1.5	900	0.5	6	gene1945	449	449	242	gene1945	4.01E-02	4.12E-02	4.91E-02	1.68E-01	8.54E-02	6.57E-02
HQEPHWNJWTPJ_7	0.025	1.5	900	0.5	7	gene1945	449	449	242	gene1945	3.90E-02	6.05E-01	7.45E-01	2.86E-02	8.78E-02	1.09E-02
HQEPHWNJWTPJ_8	0.025	1.5	900	0.5	8	gene1945	449	449	242	gene1945	3.79E-02	1.62E-01	1.62E-01	1.22E-01	8.74E-02	4.67E-02
HQEPHWNJWTPJ_9	0.025	1.5	900	0.5	9	gene1945	449	449	242	gene1945	4.12E-02	2.40E-01	2.77E-01	9.19E-02	8.45E-02	3.63E-02
HQEPHWNJWTPJ_10	0.025	1.5	900	0.5	10	gene1945	449	449	242	gene1945	3.90E-02	1.21E-01	1.29E-01	1.31E-01	8.64E-02	5.06E-02
LARISRFLSMNL_2	0.025	1.5	1000	0.5	2	gene1945	499	499	142	gene1945	4.01E-02	5.28E-02	5.29E-02	1.56E-01	8.06E-02	6.13E-02
LARISRFLSMNL_3	0.025	1.5	1000	0.5	3	gene1945	499	499	142	gene1945	4.01E-02	3.33E-01	3.33E-01	7.81E-02	8.07E-02	3.07E-02
LARISRFLSMNL_4	0.025	1.5	1000	0.5	4	gene1945	499	499	142	gene1945	4.01E-02	1.97E-01	1.92E-01	1.06E-01	8.11E-02	4.13E-02
LARISRFLSMNL_5	0.025	1.5	1000	0.5	5	gene1945	499	499	142	gene1945	4.01E-02	1.07E-01	1.15E-01	1.28E-01	8.11E-02	4.99E-02
LARISRFLSMNL_6	0.025	1.5	1000	0.5	6	gene1945	499	499	142	gene1945	4.01E-02	3.33E-01	3.33E-01	7.81E-02	8.07E-02	3.07E-02
LARISRFLSMNL_7	0.025	1.5	1000	0.5	7	gene1945	499	499	142	gene1945	4.01E-02	3.33E-01	3.12E-01	8.25E-02	8.15E-02	3.20E-02
LARISRFLSMNL_8	0.025	1.5	1000	0.5	8	gene1945	499	499	142	gene1945	4.01E-02	1.07E-01	1.07E-01	1.30E-01	8.07E-02	5.11E-02
LARISRFLSMNL_9	0.025	1.5	1000	0.5	9	gene1945	499	499	142	gene1945	3.91E-02	2.53E-01	2.15E-01	1.03E-01	8.32E-02	3.93E-02
LARISRFLSMNL_10	0.025	1.5	1000	0.5	10	gene1945	499	499	142	gene1945	4.01E-02	3.33E-01	3.33E-01	7.81E-02	8.07E-02	3.07E-02
LWOWDNZDIKCS_2	0.025	5	100	0.5	2	gene1945	49	49	1042	gene1945	3.06E-02	5.58E-01	5.62E-01	-1.72E-01	2.96E-01	5.92E-02	bad-chisq
LWOWDNZDIKCS_3	0.025	5	100	0.5	3	gene1945	49	49	1042	gene1945	3.06E-02	7.85E-02	9.30E-02	5.00E-01	2.95E-01	1.71E-01	bad-chisq
LWOWDNZDIKCS_4	0.025	5	100	0.5	4	gene1945	49	49	1042	gene1945	2.04E-02	1.53E-01	1.56E-01	5.10E-01	3.57E-01	1.44E-01	bad-chisq
LWOWDNZDIKCS_6	0.025	5	100	0.5	6	gene1945	49	49	1042	gene1945	5.10E-02	1.68E-01	1.02E-01	3.86E-01	2.34E-01	1.66E-01	bad-chisq
LWOWDNZDIKCS_7	0.025	5	100	0.5	7	gene1945	49	49	1042	gene1945	3.06E-02	5.58E-01	5.62E-01	-1.72E-01	2.96E-01	5.92E-02	bad-chisq
LWOWDNZDIKCS_9	0.025	5	100	0.5	9	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
LWOWDNZDIKCS_10	0.025	5	100	0.5	10	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
JJVWJPSAHQQC_1	0.025	5	200	0.5	1	gene1945	99	99	942	gene1945	4.04E-02	1.49E-01	1.50E-01	2.61E-01	1.80E-01	1.03E-01
JJVWJPSAHQQC_2	0.025	5	200	0.5	2	gene1945	99	99	942	gene1945	3.54E-02	5.43E-02	4.32E-02	3.92E-01	1.93E-01	1.44E-01	bad-chisq
JJVWJPSAHQQC_3	0.025	5	200	0.5	3	gene1945	99	99	942	gene1945	2.53E-02	1.74E-01	1.76E-01	3.08E-01	2.27E-01	9.66E-02	bad-chisq
JJVWJPSAHQQC_4	0.025	5	200	0.5	4	gene1945	99	99	942	gene1945	3.03E-02	9.73E-02	9.82E-02	3.44E-01	2.07E-01	1.18E-01	bad-chisq
JJVWJPSAHQQC_5	0.025	5	200	0.5	5	gene1945	99	99	942	gene1945	2.02E-02	4.33E-02	4.26E-02	5.13E-01	2.51E-01	1.44E-01	bad-chisq
JJVWJPSAHQQC_6	0.025	5	200	0.5	6	gene1945	99	99	942	gene1945	4.04E-02	3.03E-02	3.04E-02	3.91E-01	1.79E-01	1.54E-01	bad-chisq
JJVWJPSAHQQC_7	0.025	5	200	0.5	7	gene1945	99	99	942	gene1945	3.54E-02	2.48E-01	2.51E-01	2.22E-01	1.93E-01	8.20E-02	bad-chisq
JJVWJPSAHQQC_8	0.025	5	200	0.5	8	gene1945	99	99	942	gene1945	3.03E-02	1.29E-02	1.27E-02	5.16E-01	2.05E-01	1.77E-01	bad-chisq
JJVWJPSAHQQC_9	0.025	5	200	0.5	9	gene1945	99	99	942	gene1945	4.04E-02	4.70E-01	4.73E-01	1.30E-01	1.81E-01	5.13E-02	bad-chisq
JJVWJPSAHQQC_10	0.025	5	200	0.5	10	gene1945	99	99	942	gene1945	2.53E-02	1.74E-01	1.76E-01	3.08E-01	2.27E-01	9.66E-02	bad-chisq
EZWZGWKWDBJX_1	0.025	5	300	0.5	1	gene1945	149	149	842	gene1945	3.36E-02	5.36E-02	5.39E-02	3.10E-01	1.60E-01	1.12E-01
EZWZGWKWDBJX_2	0.025	5	300	0.5	2	gene1945	149	149	842	gene1945	4.03E-02	7.71E-02	7.75E-02	2.60E-01	1.47E-01	1.02E-01
EZWZGWKWDBJX_3	0.025	5	300	0.5	3	gene1945	149	149	842	gene1945	3.02E-02	3.10E-01	3.42E-01	1.62E-01	1.71E-01	5.52E-02
EZWZGWKWDBJX_4	0.025	5	300	0.5	4	gene1945	149	149	842	gene1945	4.03E-02	7.71E-02	7.75E-02	2.60E-01	1.47E-01	1.02E-01
EZWZGWKWDBJX_5	0.025	5	300	0.5	5	gene1945	149	149	842	gene1945	3.36E-02	5.20E-01	5.22E-01	1.03E-01	1.61E-01	3.73E-02
EZWZGWKWDBJX_6	0.025	5	300	0.5	6	gene1945	149	149	842	gene1945	4.70E-02	2.73E-01	2.99E-01	1.46E-01	1.40E-01	6.03E-02
EZWZGWKWDBJX_7	0.025	5	300	0.5	7	gene1945	149	149	842	gene1945	4.03E-02	2.39E-01	2.40E-01	1.74E-01	1.47E-01	6.83E-02
EZWZGWKWDBJX_8	0.025	5	300	0.5	8	gene1945	149	149	842	gene1945	5.37E-02	1.23E-01	1.24E-01	1.98E-01	1.28E-01	8.93E-02
EZWZGWKWDBJX_9	0.025	5	300	0.5	9	gene1945	149	149	842	gene1945	3.69E-02	3.57E-01	3.61E-01	1.40E-01	1.53E-01	5.32E-02
EZWZGWKWDBJX_10	0.025	5	300	0.5	10	gene1945	149	149	842	gene1945	4.03E-02	5.56E-01	5.54E-01	8.75E-02	1.48E-01	3.44E-02
IESQLCKWCRAI_1	0.025	5	400	0.5	1	gene1945	199	199	742	gene1945	4.52E-02	3.80E-03	3.72E-03	3.49E-01	1.20E-01	1.45E-01
IESQLCKWCRAI_2	0.025	5	400	0.5	2	gene1945	199	199	742	gene1945	4.52E-02	1.48E-01	2.56E-01	1.38E-01	1.22E-01	5.70E-02
IESQLCKWCRAI_3	0.025	5	400	0.5	3	gene1945	199	199	742	gene1945	3.27E-02	4.84E-02	5.14E-02	2.78E-01	1.43E-01	9.77E-02
IESQLCKWCRAI_4	0.025	5	400	0.5	4	gene1945	199	199	742	gene1945	3.77E-02	6.54E-02	5.05E-02	2.63E-01	1.34E-01	9.81E-02
IESQLCKWCRAI_5	0.025	5	400	0.5	5	gene1945	199	199	742	gene1945	3.27E-02	1.59E-01	1.59E-01	1.99E-01	1.41E-01	7.07E-02
IESQLCKWCRAI_6	0.025	5	400	0.5	6	gene1945	199	199	742	gene1945	3.27E-02	1.92E-03	1.86E-03	4.37E-01	1.40E-01	1.55E-01	bad-chisq
IESQLCKWCRAI_7	0.025	5	400	0.5	7	gene1945	199	199	742	gene1945	4.27E-02	2.15E-01	2.16E-01	1.54E-01	1.24E-01	6.21E-02
IESQLCKWCRAI_8	0.025	5	400	0.5	8	gene1945	199	199	742	gene1945	3.77E-02	1.78E-02	1.96E-02	3.12E-01	1.33E-01	1.17E-01
IESQLCKWCRAI_9	0.025	5	400	0.5	9	gene1945	199	199	742	gene1945	4.27E-02	2.15E-01	2.16E-01	1.54E-01	1.24E-01	6.21E-02
IESQLCKWCRAI_10	0.025	5	400	0.5	10	gene1945	199	199	742	gene1945	3.77E-02	1.88E-01	1.69E-01	1.82E-01	1.32E-01	6.91E-02
ZSZGMXOKWOZK_1	0.025	5	500	0.5	1	gene1945	249	249	642	gene1945	3.61E-02	5.48E-02	3.51E-02	2.59E-01	1.23E-01	9.44E-02
ZSZGMXOKWOZK_2	0.025	5	500	0.5	2	gene1945	249	249	642	gene1945	3.82E-02	4.83E-01	4.04E-01	9.88E-02	1.18E-01	3.74E-02
ZSZGMXOKWOZK_3	0.025	5	500	0.5	3	gene1945	249	249	642	gene1945	4.22E-02	8.24E-01	8.24E-01	2.49E-02	1.12E-01	9.99E-03
ZSZGMXOKWOZK_4	0.025	5	500	0.5	4	gene1945	249	249	642	gene1945	3.61E-02	1.64E-02	3.16E-02	2.65E-01	1.23E-01	9.63E-02
ZSZGMXOKWOZK_5	0.025	5	500	0.5	5	gene1945	249	249	642	gene1945	4.22E-02	5.04E-01	5.05E-01	7.46E-02	1.12E-01	3.00E-02
ZSZGMXOKWOZK_6	0.025	5	500	0.5	6	gene1945	249	249	642	gene1945	4.62E-02	5.51E-03	5.45E-03	2.96E-01	1.06E-01	1.24E-01
ZSZGMXOKWOZK_7	0.025	5	500	0.5	7	gene1945	249	249	642	gene1945	3.61E-02	5.48E-02	6.22E-02	2.25E-01	1.20E-01	8.36E-02
ZSZGMXOKWOZK_8	0.025	5	500	0.5	8	gene1945	249	249	642	gene1945	4.02E-02	1.71E-01	1.93E-01	1.50E-01	1.15E-01	5.84E-02
ZSZGMXOKWOZK_9	0.025	5	500	0.5	9	gene1945	249	249	642	gene1945	3.21E-02	1.27E-01	1.28E-01	1.94E-01	1.27E-01	6.83E-02
ZSZGMXOKWOZK_10	0.025	5	500	0.5	10	gene1945	249	249	642	gene1945	3.21E-02	4.21E-02	4.21E-02	2.58E-01	1.27E-01	9.11E-02
GTTRNZVVZCTR_1	0.025	5	600	0.5	1	gene1945	299	299	542	gene1945	4.18E-02	1.53E-01	1.53E-01	1.46E-01	1.02E-01	5.85E-02
GTTRNZVVZCTR_2	0.025	5	600	0.5	2	gene1945	299	299	542	gene1945	3.51E-02	1.45E-02	2.15E-02	2.58E-01	1.12E-01	9.40E-02
GTTRNZVVZCTR_3	0.025	5	600	0.5	3	gene1945	299	299	542	gene1945	4.18E-02	1.53E-01	1.53E-01	1.46E-01	1.02E-01	5.85E-02
GTTRNZVVZCTR_4	0.025	5	600	0.5	4	gene1945	299	299	542	gene1945	3.51E-02	1.45E-02	1.84E-02	2.65E-01	1.12E-01	9.64E-02
GTTRNZVVZCTR_5	0.025	5	600	0.5	5	gene1945	299	299	542	gene1945	4.18E-02	2.18E-03	2.14E-03	3.13E-01	1.02E-01	1.25E-01
