HS11286.2	HS11286:382-822
HS11286.2630	HS11286:1330731-1331087
HS11286.2632	HS11286:1331095-1332327
HS11286.2634	HS11286:1332320-1332907
HS11286.2636	HS11286:1332909-1334033
HS11286.2638	HS11286:1334070-1338422
HS11286.2640	HS11286:1339913-1340314
HS11286.2642	HS11286:1340393-1340563
HS11286.2644	HS11286:1340888-1341028
HS11286.2646	HS11286:1341074-1342378
HS11286.2648	HS11286:1342431-1342736
HS11286.2650	HS11286:1342714-1343376
HS11286.2652	HS11286:1343848-1344408
HS11286.2654	HS11286:1344467-1345162
HS11286.2656	HS11286:1345173-1347608
HS11286.2658	HS11286:1347610-1348635
HS11286.2660	HS11286:1348658-1349524
HS11286.2662	HS11286:1350035-1350955
HS11286.2664	HS11286:1351056-1351328
HS11286.2666	HS11286:1351621-1353189
HS11286.2668	HS11286:1353555-1354889
HS11286.2670	HS11286:1354972-1357119
HS11286.2672	HS11286:1357179-1358654
HS11286.2674	HS11286:1358986-1360503
HS11286.2676	HS11286:1360580-1361005
HS11286.2678	HS11286:1361577-1362497
HS11286.2680	HS11286:1362494-1363666
HS11286.2682	HS11286:1363676-1364707
HS11286.2684	HS11286:1365091-1366098
HS11286.2686	HS11286:1366200-1367219
HS11286.2688	HS11286:1367649-1368572
HS11286.2690	HS11286:1368605-1370089
HS11286.2692	HS11286:1370109-1371131
HS11286.2694	HS11286:1371137-1371274
HS11286.2696	HS11286:1371315-1371923
HS11286.2698	HS11286:1371971-1372981
HS11286.2700	HS11286:1373005-1374405
HS11286.2702	HS11286:1374405-1375775
HS11286.2704	HS11286:1375880-1377397
HS11286.2706	HS11286:1377562-1378485
HS11286.2708	HS11286:1378504-1378623
HS11286.2710	HS11286:1378724-1379365
HS11286.2712	HS11286:1379501-1379845
HS11286.2714	HS11286:1379845-1380987
HS11286.2716	HS11286:1381028-1381825
HS11286.2718	HS11286:1381822-1382850
HS11286.2720	HS11286:1382912-1384030
HS11286.2722	HS11286:1384122-1384241
HS11286.2724	HS11286:1384302-1384691
HS11286.2726	HS11286:1384860-1385315
HS11286.2728	HS11286:1385380-1385505
HS11286.2730	HS11286:1385468-1385605
HS11286.2732	HS11286:1385821-1386999
HS11286.2734	HS11286:1387019-1387795
HS11286.2736	HS11286:1387924-1388877
HS11286.2738	HS11286:1389546-1390337
HS11286.2740	HS11286:1390363-1391139
HS11286.2742	HS11286:1391227-1392960
HS11286.2744	HS11286:1393005-1394192
HS11286.2746	HS11286:1394617-1395300
HS11286.2748	HS11286:1395418-1396590
HS11286.2750	HS11286:1396607-1397722
HS11286.2752	HS11286:1397729-1398322
HS11286.2754	HS11286:1398300-1399799
HS11286.2756	HS11286:1400172-1400537
HS11286.2758	HS11286:1400551-1401852
HS11286.2760	HS11286:1402002-1403495
HS11286.2762	HS11286:1403891-1404973
HS11286.2764	HS11286:1405033-1407231
HS11286.2766	HS11286:1407339-1408715
HS11286.2768	HS11286:1408904-1410109
HS11286.2770	HS11286:1410126-1411148
HS11286.2772	HS11286:1411150-1412301
HS11286.2774	HS11286:1412321-1412737
HS11286.2776	HS11286:1413053-1413220
HS11286.2778	HS11286:1413401-1414096
HS11286.2780	HS11286:1414103-1414786
HS11286.2782	HS11286:1414783-1416402
HS11286.2784	HS11286:1416392-1418929
HS11286.2786	HS11286:1418938-1419615
HS11286.2788	HS11286:1419680-1420258
HS11286.2790	HS11286:1420329-1420946
HS11286.2792	HS11286:1421280-1421420
HS11286.2794	HS11286:1421628-1422026
HS11286.2796	HS11286:1422288-1423268
HS11286.2798	HS11286:1423272-1424516
HS11286.2800	HS11286:1424587-1426014
HS11286.2802	HS11286:1426123-1426989
HS11286.2804	HS11286:1427655-1428689
HS11286.2806	HS11286:1428786-1429211
HS11286.2808	HS11286:1429403-1431514
HS11286.2810	HS11286:1431567-1432553
HS11286.2812	HS11286:1432618-1433679
HS11286.2814	HS11286:1433697-1434551
HS11286.2816	HS11286:1434554-1435297
HS11286.2818	HS11286:1435312-1435782
HS11286.2820	HS11286:1435775-1436209
HS11286.2822	HS11286:1436457-1437110
HS11286.2824	HS11286:1437230-1437598
HS11286.2826	HS11286:1437595-1438179
HS11286.2828	HS11286:1438359-1439474
HS11286.2830	HS11286:1439505-1439846
HS11286.2832	HS11286:1439864-1440112
HS11286.2834	HS11286:1440488-1440622
HS11286.2836	HS11286:1440615-1443338
HS11286.2838	HS11286:1443391-1444470
HS11286.2840	HS11286:1444484-1447576
HS11286.2842	HS11286:1447872-1448393
HS11286.2844	HS11286:1448450-1449235
HS11286.2846	HS11286:1449374-1450093
HS11286.2848	HS11286:1450141-1451256
HS11286.2850	HS11286:1451378-1452286
HS11286.2852	HS11286:1452411-1453745
HS11286.2854	HS11286:1453742-1455205
HS11286.2856	HS11286:1455447-1456298
HS11286.2858	HS11286:1456346-1456987
HS11286.2860	HS11286:1457002-1457667
HS11286.2862	HS11286:1457660-1458421
HS11286.2864	HS11286:1458475-1459239
HS11286.2866	HS11286:1459420-1460757
HS11286.2868	HS11286:1461210-1461347
HS11286.2870	HS11286:1461493-1462197
HS11286.2872	HS11286:1462184-1463020
HS11286.2874	HS11286:1463013-1463846
HS11286.2876	HS11286:1463846-1464868
HS11286.2878	HS11286:1464988-1466556
HS11286.2880	HS11286:1466762-1467457
HS11286.2882	HS11286:1467578-1469242
HS11286.2884	HS11286:1469256-1470728
HS11286.2886	HS11286:1470742-1471329
HS11286.2888	HS11286:1471458-1473491
HS11286.2890	HS11286:1473537-1473983
HS11286.2892	HS11286:1474208-1474627
HS11286.2894	HS11286:1474660-1475463
HS11286.2896	HS11286:1475460-1476353
HS11286.2898	HS11286:1476352-1476465
HS11286.2900	HS11286:1476607-1477212
HS11286.2902	HS11286:1477265-1478050
HS11286.2904	HS11286:1478251-1479048
HS11286.2906	HS11286:1479109-1479393
HS11286.2908	HS11286:1479395-1480177
HS11286.2910	HS11286:1480195-1481739
HS11286.2912	HS11286:1481741-1482361
HS11286.2914	HS11286:1482405-1483340
HS11286.2916	HS11286:1483500-1485020
HS11286.2918	HS11286:1485369-1486319
HS11286.2920	HS11286:1486694-1487524
HS11286.2922	HS11286:1487517-1488452
HS11286.2924	HS11286:1488504-1489127
HS11286.2926	HS11286:1489194-1491422
HS11286.2928	HS11286:1491682-1492890
HS11286.2930	HS11286:1492918-1493121
HS11286.2932	HS11286:1493132-1497013
HS11286.2934	HS11286:1497078-1497872
HS11286.2936	HS11286:1497869-1498861
HS11286.2938	HS11286:1498858-1499865
HS11286.2940	HS11286:1499978-1501219
HS11286.2942	HS11286:1501480-1502439
HS11286.2944	HS11286:1502628-1503803
HS11286.2946	HS11286:1503813-1505420
HS11286.2948	HS11286:1505434-1506285
HS11286.2950	HS11286:1506285-1507040
HS11286.2952	HS11286:1507041-1507454
HS11286.2954	HS11286:1507811-1509916
HS11286.2956	HS11286:1510021-1510218
HS11286.2958	HS11286:1510215-1510619
HS11286.2960	HS11286:1510594-1510896
HS11286.2962	HS11286:1511080-1511823
HS11286.2964	HS11286:1511881-1512969
HS11286.2966	HS11286:1513133-1514635
HS11286.2968	HS11286:1514632-1515630
HS11286.2970	HS11286:1515651-1516715
HS11286.2972	HS11286:1516821-1518062
HS11286.2974	HS11286:1518235-1518756
HS11286.2976	HS11286:1518813-1519598
HS11286.2978	HS11286:1519725-1520924
HS11286.2980	HS11286:1521026-1522054
HS11286.2982	HS11286:1522115-1523383
HS11286.2984	HS11286:1523409-1524767
HS11286.2986	HS11286:1524878-1525687
HS11286.2988	HS11286:1525809-1526759
HS11286.2990	HS11286:1526906-1528144
HS11286.2992	HS11286:1528141-1529376
HS11286.2994	HS11286:1529373-1530635
HS11286.2996	HS11286:1531086-1531694
HS11286.2998	HS11286:1531707-1533203
HS11286.3000	HS11286:1533200-1534228
HS11286.3002	HS11286:1534271-1535212
HS11286.3004	HS11286:1535224-1536228
HS11286.3006	HS11286:1536225-1537073
HS11286.3008	HS11286:1537210-1538712
HS11286.3010	HS11286:1538757-1539737
HS11286.3012	HS11286:1540146-1542455
HS11286.3014	HS11286:1542563-1543105
HS11286.3016	HS11286:1543102-1543791
HS11286.3018	HS11286:1543933-1545078
HS11286.3020	HS11286:1545079-1545705
HS11286.3022	HS11286:1545690-1546913
HS11286.3024	HS11286:1547024-1547956
HS11286.3026	HS11286:1548137-1548886
HS11286.3028	HS11286:1549298-1549861
HS11286.3030	HS11286:1550049-1551614
HS11286.3032	HS11286:1551691-1552119
HS11286.3034	HS11286:1552306-1552716
HS11286.3036	HS11286:1552895-1553692
HS11286.3038	HS11286:1553785-1555158
HS11286.3040	HS11286:1555440-1556015
HS11286.3042	HS11286:1556210-1556419
HS11286.3044	HS11286:1556486-1556869
HS11286.3046	HS11286:1556959-1557747
HS11286.3048	HS11286:1557990-1558196
HS11286.3050	HS11286:1558387-1559352
HS11286.3052	HS11286:1559533-1560429
HS11286.3054	HS11286:1560623-1561267
HS11286.3056	HS11286:1561372-1561635
HS11286.3058	HS11286:1561748-1563019
HS11286.3060	HS11286:1563086-1564234
HS11286.3062	HS11286:1564246-1565358
HS11286.3064	HS11286:1565358-1567259
HS11286.3066	HS11286:1567287-1567754
HS11286.3068	HS11286:1567758-1568075
HS11286.3070	HS11286:1568298-1568927
HS11286.3072	HS11286:1569000-1569650
HS11286.3074	HS11286:1569643-1570665
HS11286.3076	HS11286:1570674-1571246
HS11286.3078	HS11286:1571279-1573861
HS11286.3080	HS11286:1574085-1574570
HS11286.3082	HS11286:1574616-1576409
HS11286.3084	HS11286:1576475-1578145
HS11286.3086	HS11286:1578160-1578276
HS11286.3088	HS11286:1578519-1579244
HS11286.3090	HS11286:1579244-1579918
HS11286.3092	HS11286:1579918-1580658
HS11286.3094	HS11286:1580823-1581734
HS11286.3096	HS11286:1582089-1583627
HS11286.3098	HS11286:1583753-1584700
HS11286.3100	HS11286:1584779-1585252
HS11286.3102	HS11286:1585249-1586295
HS11286.3104	HS11286:1586449-1587873
HS11286.3106	HS11286:1588053-1589228
HS11286.3108	HS11286:1589348-1589422
HS11286.3110	HS11286:1589498-1589572
HS11286.3112	HS11286:1589620-1589696
HS11286.3114	HS11286:1589720-1589794
HS11286.3116	HS11286:1589831-1589905
HS11286.3118	HS11286:1589929-1590013
HS11286.3120	HS11286:1590022-1590098
HS11286.3122	HS11286:1590336-1592000
HS11286.3124	HS11286:1592279-1593031
HS11286.3126	HS11286:1593148-1594368
HS11286.3128	HS11286:1594377-1595525
HS11286.3130	HS11286:1595639-1596439
HS11286.3132	HS11286:1596754-1598709
HS11286.3134	HS11286:1598888-1600555
HS11286.3136	HS11286:1600609-1600917
HS11286.3138	HS11286:1600991-1602394
HS11286.3140	HS11286:1602442-1602774
HS11286.3142	HS11286:1603391-1603843
HS11286.3144	HS11286:1604135-1604665
HS11286.3146	HS11286:1604817-1605110
HS11286.3148	HS11286:1605244-1605960
HS11286.3150	HS11286:1605987-1606103
HS11286.3152	HS11286:1606201-1606749
HS11286.3154	HS11286:1606782-1608422
HS11286.3156	HS11286:1608477-1608914
HS11286.3158	HS11286:1608896-1609573
HS11286.3160	HS11286:1609570-1612257
HS11286.3162	HS11286:1612258-1612833
HS11286.3164	HS11286:1612844-1614892
HS11286.3166	HS11286:1614913-1616592
HS11286.3168	HS11286:1616988-1617197
HS11286.3170	HS11286:1617381-1618823
HS11286.3172	HS11286:1618795-1620273
HS11286.3174	HS11286:1620541-1621284
HS11286.3176	HS11286:1621299-1621955
HS11286.3178	HS11286:1621949-1622881
HS11286.3180	HS11286:1622871-1623614
HS11286.3182	HS11286:1623696-1624421
HS11286.3184	HS11286:1624418-1625413
HS11286.3186	HS11286:1625423-1626067
HS11286.3188	HS11286:1626083-1626874
HS11286.3190	HS11286:1626862-1626975
HS11286.3192	HS11286:1626965-1628248
HS11286.3194	HS11286:1629018-1629293
HS11286.3196	HS11286:1629287-1629634
HS11286.3198	HS11286:1629604-1629768
HS11286.3200	HS11286:1629748-1631400
HS11286.3202	HS11286:1631416-1632132
HS11286.3204	HS11286:1632514-1635321
HS11286.3206	HS11286:1635336-1636562
HS11286.3208	HS11286:1636666-1637832
HS11286.3210	HS11286:1637832-1638701
HS11286.3212	HS11286:1638713-1638856
HS11286.3214	HS11286:1639526-1641094
HS11286.3216	HS11286:1641110-1642249
HS11286.3218	HS11286:1642265-1642381
HS11286.3220	HS11286:1642381-1642671
HS11286.3222	HS11286:1642958-1643152
HS11286.3224	HS11286:1643222-1643914
HS11286.3226	HS11286:1643918-1644346
HS11286.3228	HS11286:1644446-1645768
HS11286.3230	HS11286:1645898-1647190
HS11286.3232	HS11286:1647225-1647749
HS11286.3234	HS11286:1647759-1648553
HS11286.3236	HS11286:1648715-1648790
HS11286.3238	HS11286:1648916-1648991
HS11286.3240	HS11286:1648994-1649069
HS11286.3242	HS11286:1649219-1649294
HS11286.3244	HS11286:1649298-1649373
HS11286.3246	HS11286:1649520-1649595
HS11286.3248	HS11286:1649729-1649804
HS11286.3250	HS11286:1649900-1650049
HS11286.3252	HS11286:1650116-1651162
HS11286.3254	HS11286:1651279-1651917
HS11286.3256	HS11286:1651914-1652858
HS11286.3258	HS11286:1652976-1653341
HS11286.3260	HS11286:1653656-1654708
HS11286.3262	HS11286:1654782-1655534
HS11286.3264	HS11286:1655826-1656869
HS11286.3266	HS11286:1656863-1658014
HS11286.3268	HS11286:1658014-1659060
HS11286.3270	HS11286:1659070-1660086
HS11286.3272	HS11286:1660192-1660317
HS11286.3274	HS11286:1660296-1660922
HS11286.3276	HS11286:1660919-1661767
HS11286.3278	HS11286:1661836-1662624
HS11286.3280	HS11286:1662777-1662926
HS11286.3282	HS11286:1663069-1663842
HS11286.3284	HS11286:1663842-1664531
HS11286.3286	HS11286:1664534-1665592
HS11286.3288	HS11286:1665593-1666411
HS11286.3290	HS11286:1666640-1667635
HS11286.3292	HS11286:1667745-1668011
HS11286.3294	HS11286:1668063-1668251
HS11286.3296	HS11286:1668495-1668740
HS11286.3298	HS11286:1669071-1670282
HS11286.3300	HS11286:1670438-1671172
HS11286.3302	HS11286:1671214-1671768
HS11286.3304	HS11286:1671850-1672062
HS11286.3306	HS11286:1672447-1672593
HS11286.3308	HS11286:1672798-1673304
HS11286.3310	HS11286:1673321-1674244
HS11286.3312	HS11286:1674259-1674666
HS11286.3314	HS11286:1674940-1676223
HS11286.3316	HS11286:1676378-1677697
HS11286.3318	HS11286:1677694-1678650
HS11286.3320	HS11286:1678712-1679437
HS11286.3322	HS11286:1679580-1680332
HS11286.3324	HS11286:1680329-1681267
HS11286.3326	HS11286:1681264-1682790
HS11286.3328	HS11286:1682889-1684271
HS11286.3330	HS11286:1685050-1685526
HS11286.3332	HS11286:1685597-1686886
HS11286.3334	HS11286:1687124-1688140
HS11286.3336	HS11286:1688137-1689294
HS11286.3338	HS11286:1689278-1690033
HS11286.3340	HS11286:1690026-1690748
HS11286.3342	HS11286:1691499-1691711
HS11286.3344	HS11286:1692123-1694144
HS11286.3346	HS11286:1694393-1695421
HS11286.3348	HS11286:1695495-1696166
HS11286.3350	HS11286:1696166-1697806
HS11286.3352	HS11286:1697911-1698816
HS11286.3354	HS11286:1699151-1700140
HS11286.3356	HS11286:1700164-1700676
HS11286.3358	HS11286:1700680-1701168
HS11286.3360	HS11286:1701161-1701409
HS11286.3362	HS11286:1701411-1701863
HS11286.3364	HS11286:1701909-1702613
HS11286.3366	HS11286:1703031-1703996
HS11286.3368	HS11286:1703993-1705237
HS11286.3370	HS11286:1705234-1705995
HS11286.3372	HS11286:1706181-1706564
HS11286.3374	HS11286:1706625-1707731
HS11286.3376	HS11286:1707861-1708994
HS11286.3378	HS11286:1708984-1710723
HS11286.3380	HS11286:1710716-1711711
HS11286.3382	HS11286:1711711-1712070
HS11286.3384	HS11286:1712067-1712369
HS11286.3386	HS11286:1712443-1713366
HS11286.3388	HS11286:1713358-1713495
HS11286.3390	HS11286:1713783-1715114
HS11286.3392	HS11286:1715165-1715914
HS11286.3394	HS11286:1715928-1716773
HS11286.3396	HS11286:1716773-1717003
HS11286.3398	HS11286:1716979-1717764
HS11286.3400	HS11286:1717979-1719334
HS11286.3402	HS11286:1719522-1721690
HS11286.3404	HS11286:1721720-1722688
HS11286.3406	HS11286:1722798-1723058
HS11286.3408	HS11286:1723344-1723610
HS11286.3410	HS11286:1723631-1723891
HS11286.3412	HS11286:1724031-1724645
HS11286.3414	HS11286:1724742-1725431
HS11286.3416	HS11286:1725446-1725655
HS11286.3418	HS11286:1725658-1727853
HS11286.3420	HS11286:1727965-1728687
HS11286.3422	HS11286:1728684-1729343
HS11286.3424	HS11286:1729469-1730215
HS11286.3426	HS11286:1730624-1731127
HS11286.3428	HS11286:1731365-1732252
HS11286.3430	HS11286:1732271-1732396
HS11286.3432	HS11286:1732604-1733116
HS11286.3434	HS11286:1733207-1734787
HS11286.3436	HS11286:1735055-1735180
HS11286.3438	HS11286:1735366-1735839
HS11286.3440	HS11286:1735836-1736948
HS11286.3442	HS11286:1737118-1738494
HS11286.3444	HS11286:1738563-1739279
HS11286.3446	HS11286:1739425-1740240
HS11286.3448	HS11286:1740539-1741453
HS11286.3450	HS11286:1741526-1743094
HS11286.3452	HS11286:1743627-1745990
HS11286.3454	HS11286:1746006-1747307
HS11286.3456	HS11286:1747550-1748680
HS11286.3458	HS11286:1748677-1749942
HS11286.3460	HS11286:1750082-1750897
HS11286.3462	HS11286:1751074-1753506
HS11286.3464	HS11286:1753511-1754410
HS11286.3466	HS11286:1754565-1755320
HS11286.3468	HS11286:1755320-1756555
HS11286.3470	HS11286:1756791-1757732
HS11286.3472	HS11286:1757750-1759609
HS11286.3474	HS11286:1759642-1761183
HS11286.3476	HS11286:1761230-1762150
HS11286.3478	HS11286:1762152-1763063
HS11286.3480	HS11286:1763585-1764910
HS11286.3482	HS11286:1765143-1766384
HS11286.3484	HS11286:1766763-1767146
HS11286.3486	HS11286:1767262-1768371
HS11286.3488	HS11286:1768374-1769000
HS11286.3490	HS11286:1770534-1770662
HS11286.3492	HS11286:1771315-1772517
HS11286.3494	HS11286:1772556-1773314
HS11286.3496	HS11286:1773416-1774009
HS11286.3498	HS11286:1774337-1775569
HS11286.3500	HS11286:1775607-1776419
HS11286.3502	HS11286:1776419-1777621
HS11286.3504	HS11286:1777704-1778267
HS11286.3506	HS11286:1778390-1779370
HS11286.3508	HS11286:1779858-1781345
HS11286.3510	HS11286:1781446-1781634
HS11286.3512	HS11286:1781645-1781878
HS11286.3514	HS11286:1782440-1782670
HS11286.3516	HS11286:1782946-1784688
HS11286.3518	HS11286:1784750-1785775
HS11286.3520	HS11286:1785775-1787541
HS11286.3522	HS11286:1787684-1788517
HS11286.3524	HS11286:1788534-1789592
HS11286.3526	HS11286:1789596-1790246
HS11286.3528	HS11286:1790342-1790806
HS11286.3530	HS11286:1790806-1791009
HS11286.3532	HS11286:1791013-1791228
HS11286.3534	HS11286:1791209-1791718
HS11286.3536	HS11286:1791723-1792106
HS11286.3538	HS11286:1792103-1792531
HS11286.3540	HS11286:1792518-1792664
HS11286.3542	HS11286:1792627-1793058
HS11286.3544	HS11286:1793093-1793497
HS11286.3546	HS11286:1793494-1794003
HS11286.3548	HS11286:1794002-1794166
HS11286.3550	HS11286:1794281-1794853
HS11286.3552	HS11286:1794850-1795212
HS11286.3554	HS11286:1795199-1796107
HS11286.3556	HS11286:1796100-1796699
HS11286.3558	HS11286:1796701-1799652
HS11286.3560	HS11286:1799656-1800387
HS11286.3562	HS11286:1800426-1800587
HS11286.3564	HS11286:1800617-1801693
HS11286.3566	HS11286:1801832-1803004
HS11286.3568	HS11286:1803014-1803529
HS11286.3570	HS11286:1803582-1803881
HS11286.3572	HS11286:1803896-1804015
HS11286.3574	HS11286:1804008-1804130
HS11286.3576	HS11286:1804243-1806636
HS11286.3578	HS11286:1806633-1807118
HS11286.3580	HS11286:1807115-1808215
HS11286.3582	HS11286:1808370-1808525
HS11286.3584	HS11286:1808631-1808753
HS11286.3586	HS11286:1808745-1810151
HS11286.3588	HS11286:1810205-1810429
HS11286.3590	HS11286:1810696-1811079
HS11286.3592	HS11286:1811086-1811349
HS11286.3594	HS11286:1811552-1811839
HS11286.3596	HS11286:1811823-1811981
HS11286.3598	HS11286:1812217-1812546
HS11286.3600	HS11286:1812661-1813563
HS11286.3602	HS11286:1813652-1814131
HS11286.3604	HS11286:1814480-1815592
HS11286.3606	HS11286:1815723-1816889
HS11286.3608	HS11286:1816900-1817853
HS11286.3610	HS11286:1817850-1818695
HS11286.3612	HS11286:1818753-1819241
HS11286.3614	HS11286:1819283-1820410
HS11286.3616	HS11286:1820489-1821205
HS11286.3618	HS11286:1821202-1822674
HS11286.3620	HS11286:1822717-1823448
HS11286.3622	HS11286:1823632-1824300
HS11286.3624	HS11286:1824300-1825016
HS11286.3626	HS11286:1825023-1825754
HS11286.3628	HS11286:1825775-1826569
HS11286.3630	HS11286:1826730-1827245
HS11286.3632	HS11286:1828123-1829262
HS11286.3634	HS11286:1829294-1830124
HS11286.3636	HS11286:1830121-1831134
HS11286.3638	HS11286:1831222-1832664
HS11286.3640	HS11286:1832675-1833676
HS11286.3642	HS11286:1833715-1835433
HS11286.3644	HS11286:1835585-1836019
HS11286.3646	HS11286:1836231-1837199
HS11286.3648	HS11286:1837210-1838895
HS11286.3650	HS11286:1839006-1839905
HS11286.3652	HS11286:1840021-1840716
HS11286.3654	HS11286:1841136-1841450
HS11286.3656	HS11286:1841464-1842795
HS11286.3658	HS11286:1842942-1844057
HS11286.3660	HS11286:1844054-1845994
HS11286.3662	HS11286:1846071-1846292
HS11286.3664	HS11286:1846618-1846935
HS11286.3666	HS11286:1846966-1849245
HS11286.3668	HS11286:1849366-1849584
HS11286.3670	HS11286:1849938-1850657
HS11286.3672	HS11286:1850684-1852405
HS11286.3674	HS11286:1852406-1854172
HS11286.3676	HS11286:1854287-1855255
HS11286.3678	HS11286:1855373-1855504
HS11286.3680	HS11286:1855788-1856282
HS11286.3682	HS11286:1856418-1860692
HS11286.3684	HS11286:1860815-1861426
HS11286.3686	HS11286:1861435-1862778
HS11286.3688	HS11286:1862869-1864161
HS11286.3690	HS11286:1864362-1866800
HS11286.3692	HS11286:1866811-1867428
HS11286.3694	HS11286:1867430-1868293
HS11286.3696	HS11286:1868305-1868451
HS11286.3698	HS11286:1868568-1869716
HS11286.3700	HS11286:1869879-1870619
HS11286.3702	HS11286:1870811-1873093
HS11286.3704	HS11286:1873145-1874002
HS11286.3706	HS11286:1874387-1876147
HS11286.3708	HS11286:1876263-1876955
HS11286.3710	HS11286:1877144-1878232
HS11286.3712	HS11286:1878306-1879589
HS11286.3714	HS11286:1879719-1880447
HS11286.3716	HS11286:1880581-1882254
HS11286.3718	HS11286:1882406-1882693
HS11286.3720	HS11286:1882899-1885163
HS11286.3722	HS11286:1885200-1886948
HS11286.3724	HS11286:1886945-1887925
HS11286.3726	HS11286:1887980-1889209
HS11286.3728	HS11286:1889273-1889455
HS11286.3730	HS11286:1889461-1890198
HS11286.3732	HS11286:1890336-1891229
HS11286.3734	HS11286:1891206-1891985
HS11286.3736	HS11286:1892107-1892904
HS11286.3738	HS11286:1892901-1893161
HS11286.3740	HS11286:1893140-1894222
HS11286.3742	HS11286:1894203-1894907
HS11286.3744	HS11286:1894907-1899355
HS11286.3746	HS11286:1899556-1901346
HS11286.3748	HS11286:1901565-1902200
HS11286.3750	HS11286:1902214-1902861
HS11286.3752	HS11286:1902930-1904120
HS11286.3754	HS11286:1904308-1904991
HS11286.3756	HS11286:1904952-1905386
HS11286.3758	HS11286:1905978-1906853
HS11286.3760	HS11286:1906886-1907302
HS11286.3762	HS11286:1907458-1908018
HS11286.3764	HS11286:1908387-1909538
HS11286.3766	HS11286:1909661-1910950
HS11286.3768	HS11286:1910975-1912213
HS11286.3770	HS11286:1912232-1913398
HS11286.3772	HS11286:1913441-1914643
HS11286.3774	HS11286:1914642-1914755
HS11286.3776	HS11286:1914970-1917585
HS11286.3778	HS11286:1917790-1918563
HS11286.3780	HS11286:1918560-1919351
HS11286.3782	HS11286:1919362-1920495
HS11286.3784	HS11286:1920467-1921465
HS11286.3786	HS11286:1921458-1922033
HS11286.3788	HS11286:1922283-1923293
HS11286.3790	HS11286:1923463-1924005
HS11286.3792	HS11286:1924002-1925111
HS11286.3794	HS11286:1925211-1927316
HS11286.3796	HS11286:1927329-1929236
HS11286.3798	HS11286:1929308-1930519
HS11286.3800	HS11286:1930509-1932146
HS11286.3802	HS11286:1932146-1932709
HS11286.3804	HS11286:1933199-1933717
HS11286.3806	HS11286:1933787-1935544
HS11286.3808	HS11286:1935730-1936182
HS11286.3810	HS11286:1936314-1937408
HS11286.3812	HS11286:1937737-1938246
HS11286.3814	HS11286:1938595-1939191
HS11286.3816	HS11286:1939205-1941340
HS11286.3818	HS11286:1941358-1941528
HS11286.3820	HS11286:1941930-1943984
HS11286.3822	HS11286:1943996-1944469
HS11286.3824	HS11286:1944609-1945022
HS11286.3826	HS11286:1945052-1945369
HS11286.3828	HS11286:1945429-1946604
HS11286.3830	HS11286:1946821-1947375
HS11286.3832	HS11286:1947393-1948181
HS11286.3834	HS11286:1948230-1948511
HS11286.3836	HS11286:1948508-1948837
HS11286.3838	HS11286:1948926-1949585
HS11286.3840	HS11286:1949908-1951509
HS11286.3842	HS11286:1951629-1951716
HS11286.3844	HS11286:1951866-1952486
HS11286.3846	HS11286:1952465-1952752
HS11286.3848	HS11286:1952817-1953005
HS11286.3850	HS11286:1953175-1954140
HS11286.3852	HS11286:1954198-1955646
HS11286.3854	HS11286:1955665-1956789
HS11286.3856	HS11286:1956826-1958433
HS11286.3858	HS11286:1958938-1959561
HS11286.3860	HS11286:1959555-1960022
HS11286.3862	HS11286:1960105-1961067
HS11286.3864	HS11286:1961064-1962344
HS11286.3866	HS11286:1962347-1963834
HS11286.3868	HS11286:1964155-1964295
HS11286.3870	HS11286:1964319-1964711
HS11286.3872	HS11286:1964737-1965489
HS11286.3874	HS11286:1965715-1967136
HS11286.3876	HS11286:1967490-1968881
HS11286.3878	HS11286:1969000-1969122
HS11286.3880	HS11286:1969379-1969600
HS11286.3882	HS11286:1969621-1970409
HS11286.3884	HS11286:1970525-1970974
HS11286.3886	HS11286:1971109-1972374
HS11286.3888	HS11286:1972443-1972670
HS11286.3890	HS11286:1972691-1973287
HS11286.3892	HS11286:1973505-1973636
HS11286.3894	HS11286:1974107-1974997
HS11286.3896	HS11286:1975404-1976726
HS11286.3898	HS11286:1976748-1977242
HS11286.3900	HS11286:1977253-1977843
HS11286.3902	HS11286:1977840-1978388
HS11286.3904	HS11286:1978364-1978630
HS11286.3906	HS11286:1978627-1979019
HS11286.3908	HS11286:1979012-1979722
HS11286.3910	HS11286:1979722-1980813
HS11286.3912	HS11286:1981098-1981736
HS11286.3914	HS11286:1981733-1982128
HS11286.3916	HS11286:1982314-1983354
HS11286.3918	HS11286:1983314-1986274
HS11286.3920	HS11286:1986696-1988204
HS11286.3922	HS11286:1988218-1988460
HS11286.3924	HS11286:1988459-1988773
HS11286.3926	HS11286:1988805-1990022
HS11286.3928	HS11286:1990260-1991090
HS11286.3930	HS11286:1991142-1992269
HS11286.3932	HS11286:1992274-1993557
HS11286.3934	HS11286:1994062-1994652
HS11286.3936	HS11286:1994670-1994849
HS11286.3938	HS11286:1995087-1995731
HS11286.3940	HS11286:1995888-1995975
HS11286.3942	HS11286:1996121-1996798
HS11286.3944	HS11286:1996817-1997677
HS11286.3946	HS11286:1997792-1998697
HS11286.3948	HS11286:1999337-1999424
HS11286.3950	HS11286:1999692-2000630
HS11286.3952	HS11286:2000719-2001456
HS11286.3954	HS11286:2001479-2002030
HS11286.3956	HS11286:2002197-2002619
HS11286.3958	HS11286:2002767-2003294
