gene0	Chromosome:1-1524
gene878	Chromosome:952825-953229
gene879	Chromosome:953257-953730
gene880	Chromosome:953727-954920
gene881	Chromosome:955077-956288
gene882	Chromosome:956293-958455
gene883	Chromosome:958523-960151
gene884	Chromosome:960342-962612
gene885	Chromosome:962599-962880
gene886	Chromosome:962890-963393
gene887	Chromosome:963390-963872
gene888	Chromosome:963869-964294
gene889	Chromosome:964312-965535
gene890	Chromosome:965983-966261
gene891	Chromosome:966265-967347
gene892	Chromosome:967344-967733
gene893	Chromosome:967898-968305
gene894	Chromosome:968424-970244
gene895	Chromosome:970505-972457
gene896	Chromosome:972546-973706
gene897	Chromosome:973806-974294
gene898	Chromosome:974291-975937
gene899	Chromosome:976075-976863
gene900	Chromosome:976872-978203
gene901	Chromosome:978481-978756
gene902	Chromosome:978934-979365
gene903	Chromosome:979362-980228
gene904	Chromosome:980225-980509
gene905	Chromosome:980506-981267
gene906	Chromosome:981424-982554
gene907	Chromosome:982762-983784
gene908	Chromosome:983803-985530
gene909	Chromosome:985513-985971
gene910	Chromosome:987233-988705
gene911	Chromosome:988740-989861
gene912	Chromosome:989948-992596
gene913	Chromosome:992598-993455
gene914	Chromosome:993853-995340
gene915	Chromosome:995318-996295
gene916	Chromosome:996524-997705
gene917	Chromosome:997782-999299
gene918	Chromosome:999472-1000767
gene919	Chromosome:1000808-1002415
gene920	Chromosome:1002441-1002704
gene921	Chromosome:1002812-1003792
gene922	Chromosome:1003805-1003957
gene923	Chromosome:1003957-1004484
gene924	Chromosome:1004501-1005841
gene925	Chromosome:1005852-1006562
gene926	Chromosome:1006693-1008180
gene927	Chromosome:1008207-1008938
gene928	Chromosome:1008944-1010062
gene929	Chromosome:1010136-1011734
gene930	Chromosome:1011731-1014124
gene931	Chromosome:1014681-1014860
gene932	Chromosome:1014866-1015300
gene933	Chromosome:1015398-1016171
gene934	Chromosome:1016236-1016685
gene935	Chromosome:1017217-1018725
gene936	Chromosome:1018727-1019965
gene937	Chromosome:1020058-1021329
gene938	Chromosome:1021344-1021643
gene939	Chromosome:1022087-1023868
gene940	Chromosome:1024211-1024687
gene941	Chromosome:1024684-1025184
gene942	Chromosome:1025321-1025393
gene943	Chromosome:1025497-1026816
gene944	Chromosome:1027104-1027685
gene945	Chromosome:1027685-1029337
gene946	Chromosome:1029513-1030577
gene947	Chromosome:1030578-1031864
gene948	Chromosome:1031896-1032633
gene949	Chromosome:1032710-1033786
gene950	Chromosome:1033840-1034631
gene951	Chromosome:1034903-1036015
gene952	Chromosome:1036028-1037002
gene953	Chromosome:1036999-1037925
gene954	Chromosome:1037920-1039914
gene955	Chromosome:1039936-1041048
gene956	Chromosome:1041264-1042094
gene957	Chromosome:1042115-1043239
gene958	Chromosome:1043299-1044315
gene959	Chromosome:1044317-1045222
gene960	Chromosome:1045199-1046020
gene961	Chromosome:1046136-1048415
gene962	Chromosome:1048412-1050346
gene963	Chromosome:1050593-1051459
gene964	Chromosome:1051544-1052317
gene965	Chromosome:1052360-1052638
gene966	Chromosome:1052696-1053736
gene967	Chromosome:1053765-1054241
gene968	Chromosome:1054247-1055008
gene969	Chromosome:1055024-1056685
gene971	Chromosome:1057646-1057963
gene972	Chromosome:1058260-1060575
gene973	Chromosome:1060656-1061654
gene974	Chromosome:1061964-1063127
gene975	Chromosome:1063140-1064051
gene976	Chromosome:1064114-1064962
gene977	Chromosome:1065127-1066038
gene978	Chromosome:1066078-1067445
gene979	Chromosome:1067561-1068208
gene980	Chromosome:1068205-1069776
gene981	Chromosome:1069883-1071262
gene982	Chromosome:1071255-1073273
gene983	Chromosome:1073327-1073548
gene984	Chromosome:1073545-1073928
gene985	Chromosome:1074074-1074421
gene986	Chromosome:1074440-1075114
gene987	Chromosome:1075297-1076097
gene988	Chromosome:1076196-1076678
gene989	Chromosome:1076778-1077197
gene990	Chromosome:1077233-1077835
gene991	Chromosome:1077975-1078334
gene992	Chromosome:1078391-1078687
gene993	Chromosome:1078743-1081055
gene994	Chromosome:1081052-1081684
gene995	Chromosome:1081775-1082584
gene996	Chromosome:1082584-1083750
gene997	Chromosome:1083747-1085750
gene998	Chromosome:1085756-1087345
gene999	Chromosome:1087348-1088496
gene1000	Chromosome:1088493-1090175
gene1001	Chromosome:1090373-1093144
gene1002	Chromosome:1093361-1094356
gene1003	Chromosome:1094670-1094864
gene1004	Chromosome:1094886-1095059
gene1005	Chromosome:1095078-1096451
gene1006	Chromosome:1096822-1097508
gene1007	Chromosome:1097508-1099022
gene1008	Chromosome:1099066-1100460
gene1009	Chromosome:1100460-1101005
gene1010	Chromosome:1101025-1101480
gene1011	Chromosome:1101803-1102549
gene1012	Chromosome:1102542-1105109
gene1013	Chromosome:1105116-1106276
gene1014	Chromosome:1106405-1107382
gene1015	Chromosome:1107443-1108099
gene1016	Chromosome:1108172-1108504
gene1017	Chromosome:1108578-1109171
gene1018	Chromosome:1109272-1110192
gene1019	Chromosome:1110269-1111549
gene1020	Chromosome:1111612-1112223
gene1021	Chromosome:1112384-1113460
gene1022	Chromosome:1113511-1113583
gene1023	Chromosome:1113861-1114112
gene1024	Chromosome:1114293-1114724
gene1025	Chromosome:1114748-1115749
gene1026	Chromosome:1115767-1116525
gene1027	Chromosome:1116531-1117148
gene1028	Chromosome:1117185-1118393
gene1029	Chromosome:1118428-1119939
gene1030	Chromosome:1120022-1120879
gene1031	Chromosome:1120889-1122148
gene1032	Chromosome:1122222-1123598
gene1033	Chromosome:1123714-1125417
gene1034	Chromosome:1125444-1127003
gene1035	Chromosome:1127089-1127883
gene1036	Chromosome:1128091-1129179
gene1037	Chromosome:1129152-1130105
gene1038	Chromosome:1130191-1131111
gene1039	Chromosome:1131128-1131421
gene1040	Chromosome:1131625-1133259
gene1041	Chromosome:1133333-1133908
gene1042	Chromosome:1133921-1134568
gene1043	Chromosome:1134785-1135465
gene1044	Chromosome:1135501-1136481
gene1045	Chromosome:1136573-1138060
gene1046	Chromosome:1138076-1138147
gene1047	Chromosome:1138315-1138908
gene1048	Chromosome:1138967-1142671
gene1049	Chromosome:1142671-1143648
gene1050	Chromosome:1143736-1144467
gene1051	Chromosome:1144564-1145853
gene1052	Chromosome:1145858-1146544
gene1053	Chromosome:1146561-1147028
gene1054	Chromosome:1147019-1147978
gene1055	Chromosome:1148427-1149107
gene1056	Chromosome:1149104-1151686
gene1057	Chromosome:1151920-1152012
gene1058	Chromosome:1152012-1153727
gene1059	Chromosome:1153724-1155853
gene1060	Chromosome:1155853-1156422
gene1061	Chromosome:1156426-1157955
gene1062	Chromosome:1157963-1158736
gene1063	Chromosome:1160544-1160828
gene1064	Chromosome:1160855-1161151
gene1065	Chromosome:1161297-1162472
gene1066	Chromosome:1162549-1163376
gene1067	Chromosome:1164572-1165435
gene1068	Chromosome:1165092-1165499
gene1069	Chromosome:1165781-1166806
gene1070	Chromosome:1167053-1167676
gene1071	Chromosome:1167673-1168554
gene1072	Chromosome:1169423-1170670
gene1073	Chromosome:1171038-1172153
gene1074	Chromosome:1172386-1172832
gene1075	Chromosome:1172881-1173786
gene1076	Chromosome:1173945-1174700
gene1077	Chromosome:1175723-1176112
gene1078	Chromosome:1177396-1177469
gene1079	Chromosome:1177628-1178392
gene1080	Chromosome:1179396-1180577
gene1081	Chromosome:1180684-1182315
gene1082	Chromosome:1182391-1183455
gene1083	Chromosome:1183508-1183981
gene1084	Chromosome:1184015-1184878
gene1085	Chromosome:1184883-1185740
gene1086	Chromosome:1185741-1186823
gene1087	Chromosome:1186904-1187323
gene1088	Chromosome:1187435-1188001
gene1089	Chromosome:1187998-1188393
gene1090	Chromosome:1188421-1190424
gene1091	Chromosome:1190757-1192148
gene1092	Chromosome:1192510-1194273
gene1093	Chromosome:1194270-1195043
gene1094	Chromosome:1195055-1196092
gene1095	Chromosome:1196279-1197115
gene1096	Chromosome:1197231-1198082
gene1097	Chromosome:1198156-1199373
gene1098	Chromosome:1199426-1200370
gene1099	Chromosome:1200767-1201660
gene1100	Chromosome:1201717-1203111
gene1101	Chromosome:1203313-1204035
gene1102	Chromosome:1204067-1205233
gene1103	Chromosome:1205304-1205798
gene1104	Chromosome:1205984-1206418
gene1105	Chromosome:1206520-1207386
gene1106	Chromosome:1207383-1207649
gene1107	Chromosome:1207636-1209657
gene1108	Chromosome:1209756-1210484
gene1109	Chromosome:1210595-1211383
gene1110	Chromosome:1211560-1213863
gene1111	Chromosome:1214513-1214947
gene1112	Chromosome:1215225-1215407
gene1113	Chromosome:1216469-1219030
gene1114	Chromosome:1219248-1220186
gene1115	Chromosome:1220388-1220487
gene1116	Chromosome:1220574-1221854
gene1117	Chromosome:1221959-1222786
gene1118	Chromosome:1222997-1224298
gene1119	Chromosome:1224385-1225260
gene1120	Chromosome:1225263-1226144
gene1121	Chromosome:1226141-1227565
gene1122	Chromosome:1227596-1228684
gene1123	Chromosome:1228683-1229384
gene1124	Chromosome:1229391-1230548
gene1125	Chromosome:1230660-1230971
gene1126	Chromosome:1230971-1231291
gene1127	Chromosome:1232844-1233956
gene1128	Chromosome:1233966-1234223
gene1129	Chromosome:1234213-1235460
gene1130	Chromosome:1235457-1236095
gene1131	Chromosome:1236185-1237192
gene1132	Chromosome:1237209-1238192
gene1133	Chromosome:1238255-1239328
gene1134	Chromosome:1239416-1239613
gene1135	Chromosome:1239610-1239984
gene1136	Chromosome:1240187-1240885
gene1137	Chromosome:1241003-1241188
gene1138	Chromosome:1241633-1241956
gene1139	Chromosome:1241971-1242831
gene1140	Chromosome:1242864-1243013
gene1141	Chromosome:1243010-1243504
gene1142	Chromosome:1243707-1245107
gene1143	Chromosome:1245129-1246151
gene1144	Chromosome:1246144-1247052
gene1145	Chromosome:1247127-1248077
gene1146	Chromosome:1248082-1249326
gene1147	Chromosome:1249330-1249935
gene1148	Chromosome:1249932-1251404
gene1149	Chromosome:1251617-1252972
gene1150	Chromosome:1253074-1254534
gene1151	Chromosome:1254555-1256135
gene1152	Chromosome:1256132-1257313
gene1153	Chromosome:1257325-1259055
gene1154	Chromosome:1259067-1261346
gene1155	Chromosome:1261922-1262158
gene1156	Chromosome:1262272-1264128
gene1157	Chromosome:1265034-1265438
gene1158	Chromosome:1265472-1266488
gene1159	Chromosome:1266485-1266985
gene1160	Chromosome:1267347-1268195
gene1161	Chromosome:1268203-1269009
gene1162	Chromosome:1269152-1269958
gene1163	Chromosome:1270062-1271144
gene1164	Chromosome:1271156-1271908
gene1165	Chromosome:1272423-1273334
gene1166	Chromosome:1273355-1274767
gene1167	Chromosome:1274900-1275550
gene1168	Chromosome:1276300-1277748
gene1169	Chromosome:1277893-1278300
gene1171	Chromosome:1278904-1279617
gene1172	Chromosome:1279655-1280020
gene1173	Chromosome:1279998-1280846
gene1174	Chromosome:1280843-1281484
gene1175	Chromosome:1281429-1281872
gene1176	Chromosome:1282030-1282218
gene1177	Chromosome:1282306-1282893
gene1178	Chromosome:1283056-1284171
gene1179	Chromosome:1283693-1283815
gene1180	Chromosome:1284179-1284862
gene1181	Chromosome:1284992-1286287
gene1182	Chromosome:1286284-1286568
gene1183	Chromosome:1286595-1287020
gene1184	Chromosome:1287328-1291026
gene1185	Chromosome:1291065-1292741
gene1186	Chromosome:1292798-1293403
gene1187	Chromosome:1293406-1294146
gene1188	Chromosome:1294168-1296054
gene1189	Chromosome:1296152-1298059
gene1190	Chromosome:1298087-1298692
gene1191	Chromosome:1298764-1299804
gene1192	Chromosome:1299822-1300124
gene1193	Chromosome:1300304-1301215
gene1194	Chromosome:1301307-1301747
gene1195	Chromosome:1301755-1302681
gene1196	Chromosome:1302931-1305501
gene1197	Chromosome:1305669-1306001
gene1198	Chromosome:1306202-1308226
gene1199	Chromosome:1308223-1308792
gene1200	Chromosome:1309005-1309331
gene1201	Chromosome:1309364-1310452
gene1202	Chromosome:1310480-1313299
gene1203	Chromosome:1313725-1315191
gene1204	Chromosome:1315234-1319982
gene1205	Chromosome:1320035-1321453
gene1206	Chromosome:1321520-1324528
gene1207	Chromosome:1324532-1325611
gene1208	Chromosome:1325776-1327512
gene1209	Chromosome:1327689-1329305
gene1210	Chromosome:1329390-1331021
gene1211	Chromosome:1331021-1332010
gene1212	Chromosome:1332092-1332964
gene1213	Chromosome:1332980-1333858
gene1214	Chromosome:1333931-1334845
gene1215	Chromosome:1334927-1335754
gene1216	Chromosome:1335794-1337215
gene1217	Chromosome:1337248-1338513
gene1218	Chromosome:1339003-1339302
gene1219	Chromosome:1339349-1340524
gene1220	Chromosome:1340659-1340955
gene1221	Chromosome:1341006-1341290
gene1222	Chromosome:1341358-1342605
gene1223	Chromosome:1342942-1344219
gene1224	Chromosome:1344216-1345169
gene1225	Chromosome:1345260-1346324
gene1226	Chromosome:1346321-1346905
gene1227	Chromosome:1346936-1348624
gene1228	Chromosome:1348719-1349282
gene1229	Chromosome:1349332-1351125
gene1230	Chromosome:1351191-1352147
gene1231	Chromosome:1352144-1353118
gene1232	Chromosome:1353157-1353525
gene1233	Chromosome:1353522-1354136
gene1234	Chromosome:1354243-1354470
gene1235	Chromosome:1354498-1355661
gene1236	Chromosome:1355836-1357050
gene1237	Chromosome:1357293-1357625
gene1238	Chromosome:1357759-1359444
gene1239	Chromosome:1359472-1360146
gene1240	Chromosome:1360155-1361801
gene1241	Chromosome:1361798-1362733
gene1242	Chromosome:1362723-1363361
gene1243	Chromosome:1363503-1364150
gene1244	Chromosome:1364413-1365186
gene1245	Chromosome:1365344-1365808
gene1246	Chromosome:1365875-1367461
gene1247	Chromosome:1367463-1367858
gene1248	Chromosome:1367891-1368721
gene1249	Chromosome:1368832-1370295
gene1250	Chromosome:1370292-1370825
gene1251	Chromosome:1370920-1371477
gene1252	Chromosome:1371529-1371702
gene1253	Chromosome:1371777-1372949
gene1254	Chromosome:1372962-1374197
gene1255	Chromosome:1374322-1374864
gene1256	Chromosome:1374861-1376168
gene1257	Chromosome:1376230-1376826
gene1258	Chromosome:1376976-1377503
gene1259	Chromosome:1377524-1378930
gene1260	Chromosome:1378927-1379850
gene1261	Chromosome:1379855-1380679
gene1262	Chromosome:1380684-1381865
gene1263	Chromosome:1381942-1383042
gene1264	Chromosome:1383213-1384202
gene1265	Chromosome:1384278-1384538
gene1266	Chromosome:1384535-1384966
gene1267	Chromosome:1384989-1386677
gene1268	Chromosome:1386857-1387717
gene1269	Chromosome:1387798-1388628
gene1270	Chromosome:1388685-1388978
gene1271	Chromosome:1388975-1389244
gene1272	Chromosome:1389357-1393052
gene1273	Chromosome:1393194-1393982
gene1274	Chromosome:1394179-1395918
gene1275	Chromosome:1395821-1399240
gene1276	Chromosome:1399296-1399904
gene1277	Chromosome:1399970-1401661
gene1278	Chromosome:1401658-1402809
gene1279	Chromosome:1402778-1403386
gene1280	Chromosome:1403386-1404603
gene1281	Chromosome:1404717-1406084
gene1282	Chromosome:1406081-1407340
gene1283	Chromosome:1407339-1408238
gene1284	Chromosome:1408240-1409358
gene1285	Chromosome:1409484-1409933
gene1286	Chromosome:1409938-1410372
gene1287	Chromosome:1410431-1411819
gene1288	Chromosome:1411894-1413087
gene1289	Chromosome:1413094-1413224
gene1290	Chromosome:1413260-1413940
gene1291	Chromosome:1413960-1415840
gene1292	Chromosome:1416181-1417347
gene1293	Chromosome:1417658-1418356
gene1294	Chromosome:1418579-1418953
gene1295	Chromosome:1419014-1419748
gene1296	Chromosome:1419961-1420302
gene1297	Chromosome:1420410-1422305
gene1298	Chromosome:1422302-1424050
gene1299	Chromosome:1424197-1424754
gene1300	Chromosome:1424751-1425293
gene1301	Chromosome:1425438-1425914
gene1302	Chromosome:1426164-1427417
gene1303	Chromosome:1427414-1430041
gene1304	Chromosome:1430062-1431648
gene1305	Chromosome:1431665-1433440
gene1306	Chromosome:1433433-1435271
gene1307	Chromosome:1435268-1436143
gene1308	Chromosome:1436140-1437117
gene1309	Chromosome:1437324-1437815
gene1310	Chromosome:1437909-1438907
gene1311	Chromosome:1438907-1440751
gene1312	Chromosome:1440805-1441290
gene1313	Chromosome:1441348-1442718
gene1314	Chromosome:1442767-1443399
gene1315	Chromosome:1443482-1445047
gene1316	Chromosome:1445058-1445372
gene1317	Chromosome:1445499-1445834
gene1318	Chromosome:1446193-1446265
gene1319	Chromosome:1446379-1448031
gene1320	Chromosome:1448028-1449371
gene1321	Chromosome:1449375-1450700
gene1322	Chromosome:1450697-1451779
gene1323	Chromosome:1451997-1452947
gene1324	Chromosome:1453204-1455012
gene1325	Chromosome:1455163-1455405
gene1326	Chromosome:1455495-1456568
gene1327	Chromosome:1456565-1457542
gene1328	Chromosome:1457558-1458211
gene1329	Chromosome:1458295-1459509
gene1330	Chromosome:1459766-1460251
gene1331	Chromosome:1460244-1460996
gene1332	Chromosome:1461045-1461290
gene1333	Chromosome:1461321-1461836
gene1334	Chromosome:1461843-1463183
gene1335	Chromosome:1463228-1464877
gene1336	Chromosome:1464884-1465801
gene1337	Chromosome:1465841-1467301
gene1338	Chromosome:1467315-1467680
gene1339	Chromosome:1467688-1468131
gene1340	Chromosome:1468171-1469505
gene1341	Chromosome:1469671-1470252
gene1342	Chromosome:1470321-1471577
gene1343	Chromosome:1471619-1471742
gene1344	Chromosome:1471846-1473382
gene1345	Chromosome:1473658-1476795
gene1346	Chromosome:1476899-1477013
gene1347	Chromosome:1477134-1477631
gene1348	Chromosome:1477628-1479118
gene1349	Chromosome:1479199-1480824
gene1350	Chromosome:1480894-1482501
gene1351	Chromosome:1482514-1484217
gene1352	Chromosome:1484279-1484959
gene1353	Chromosome:1484982-1485278
gene1354	Chromosome:1485313-1485771
gene1355	Chromosome:1485862-1487031
gene1356	Chromosome:1487161-1488075
gene1357	Chromosome:1488154-1489965
gene1358	Chromosome:1490117-1492312
gene1359	Chromosome:1492320-1494425
gene1360	Chromosome:1494564-1497155
gene1361	Chromosome:1497195-1499189
gene1362	Chromosome:1499213-1500559
gene1363	Chromosome:1500661-1500966
gene1364	Chromosome:1500926-1501582
gene1365	Chromosome:1501599-1502633
gene1366	Chromosome:1502641-1503081
gene1367	Chromosome:1503103-1503384
gene1368	Chromosome:1503394-1504365
gene1369	Chromosome:1504356-1505078
gene1370	Chromosome:1505075-1505890
gene1371	Chromosome:1505917-1506738
gene1372	Chromosome:1506755-1507534
gene1373	Chromosome:1507573-1508187
gene1374	Chromosome:1508184-1508546
gene1375	Chromosome:1508543-1508923
gene1376	Chromosome:1508968-1509288
gene1377	Chromosome:1509281-1510846
gene1378	Chromosome:1510846-1512006
gene1379	Chromosome:1511973-1512605
gene1380	Chromosome:1512728-1512811
gene1381	Chromosome:1513047-1515626
gene1382	Chromosome:1515623-1517362
gene1383	Chromosome:1517491-1518234
gene1384	Chromosome:1518231-1518560
gene1385	Chromosome:1518763-1519134
gene1386	Chromosome:1519200-1519985
gene1387	Chromosome:1520005-1521876
gene1388	Chromosome:1521885-1524032
gene1389	Chromosome:1524029-1524820
gene1390	Chromosome:1525293-1526216
gene1391	Chromosome:1526612-1530091
gene1392	Chromosome:1530173-1530925
gene1393	Chromosome:1531348-1532370
gene1394	Chromosome:1532443-1533633
gene1395	Chromosome:1533948-1534610
gene1396	Chromosome:1534607-1535392
gene1397	Chromosome:1535417-1535716
gene1398	Chromosome:1535683-1537644
gene1399	Chromosome:1537783-1538169
gene1400	Chromosome:1538390-1539211
gene1401	Chromosome:1539180-1539440
gene1402	Chromosome:1539512-1540645
gene1403	Chromosome:1541020-1541805
gene1404	Chromosome:1543359-1544828
gene1405	Chromosome:1544825-1546006
gene1406	Chromosome:1546012-1546992
gene1407	Chromosome:1547072-1547530
gene1408	Chromosome:1547129-1547268
gene1409	Chromosome:1547832-1549151
gene1410	Chromosome:1549148-1550641
gene1411	Chromosome:1550579-1551217
gene1412	Chromosome:1551228-1552655
gene1413	Chromosome:1552654-1553235
gene1414	Chromosome:1553232-1554191
gene1415	Chromosome:1554188-1555480
gene1416	Chromosome:1555477-1555974
gene1417	Chromosome:1555971-1557101
gene1418	Chromosome:1557101-1560448
gene1419	Chromosome:1560445-1561269
gene1420	Chromosome:1561464-1561772
gene1421	Chromosome:1561769-1563388
gene1422	Chromosome:1563694-1564266
gene1423	Chromosome:1564401-1565027
gene1424	Chromosome:1565093-1565425
gene1425	Chromosome:1565441-1566697
gene1426	Chromosome:1566825-1568036
gene1427	Chromosome:1568109-1569587
gene1428	Chromosome:1569584-1570969
gene1429	Chromosome:1571047-1572081
gene1430	Chromosome:1572127-1573857
gene1431	Chromosome:1574112-1574513
gene1432	Chromosome:1574510-1574767
gene1433	Chromosome:1574850-1575809
gene1434	Chromosome:1575834-1576796
gene1435	Chromosome:1576930-1577532
gene1436	Chromosome:1577613-1579580
gene1437	Chromosome:1579598-1580422
gene1438	Chromosome:1580591-1581073
gene1439	Chromosome:1581145-1581969
gene1440	Chromosome:1582166-1583104
gene1441	Chromosome:1583101-1584474
gene1442	Chromosome:1584499-1585197
gene1443	Chromosome:1585194-1586213
gene1444	Chromosome:1586210-1587766
gene1445	Chromosome:1587772-1588482
gene1446	Chromosome:1588567-1589172
gene1447	Chromosome:1589386-1589901
gene1448	Chromosome:1589891-1590292
gene1449	Chromosome:1590397-1591674
gene1450	Chromosome:1591671-1592153
gene1451	Chromosome:1592150-1592614
gene1452	Chromosome:1592639-1593325
gene1453	Chromosome:1593505-1593978
gene1454	Chromosome:1594042-1595982
gene1455	Chromosome:1595979-1596884
gene1456	Chromosome:1596881-1597909
gene1457	Chromosome:1597906-1598883
gene1458	Chromosome:1598893-1599654
gene1459	Chromosome:1599658-1601037
gene1460	Chromosome:1601059-1602321
gene1461	Chromosome:1602321-1603928
gene1462	Chromosome:1603932-1604759
gene1463	Chromosome:1604878-1606146
gene1464	Chromosome:1606386-1607972
gene1465	Chromosome:1608083-1609852
gene1466	Chromosome:1609849-1611270
gene1467	Chromosome:1611434-1612249
gene1468	Chromosome:1612256-1612393
gene1469	Chromosome:1612342-1612950
gene1470	Chromosome:1613307-1614326
gene1471	Chromosome:1614329-1615567
gene1472	Chromosome:1615564-1616349
gene1473	Chromosome:1616961-1617386
gene1474	Chromosome:1617837-1618070
gene1475	Chromosome:1618209-1619684
gene1476	Chromosome:1619791-1622091
gene1477	Chromosome:1622207-1622692
gene1478	Chromosome:1623287-1623697
gene1479	Chromosome:1623714-1624457
gene1480	Chromosome:1624454-1625365
gene1481	Chromosome:1625418-1626962
gene1482	Chromosome:1626959-1628080
gene1483	Chromosome:1628097-1630199
gene1484	Chromosome:1630638-1634627
gene1485	Chromosome:1635029-1635955
gene1486	Chromosome:1636004-1638229
gene1487	Chromosome:1638381-1639646
gene1488	Chromosome:1639674-1640660
gene1489	Chromosome:1640680-1641543
gene1490	Chromosome:1641493-1642425
gene1491	Chromosome:1642537-1643322
gene1492	Chromosome:1643319-1644260
gene1493	Chromosome:1644363-1646138
gene1494	Chromosome:1646186-1646992
gene1495	Chromosome:1646989-1649529
gene1496	Chromosome:1649526-1650719
gene1497	Chromosome:1650716-1651516
gene1498	Chromosome:1651518-1652771
gene1499	Chromosome:1652768-1653256
gene1500	Chromosome:1653231-1653578
gene1501	Chromosome:1653673-1655502
gene1502	Chromosome:1655609-1656721
gene1503	Chromosome:1656963-1658936
gene1504	Chromosome:1658980-1659354
gene1505	Chromosome:1659370-1659741
gene1506	Chromosome:1659763-1660620
gene1507	Chromosome:1660656-1662284
gene1508	Chromosome:1662381-1662572
gene1509	Chromosome:1662641-1663204
gene1510	Chromosome:1663215-1666046
gene1511	Chromosome:1666204-1666764
gene1512	Chromosome:1666990-1668408
gene1513	Chromosome:1668419-1669144
gene1514	Chromosome:1669283-1670416
gene1515	Chromosome:1670413-1671366
gene1516	Chromosome:1671377-1672384
gene1517	Chromosome:1672457-1673299
gene1518	Chromosome:1673440-1674183
gene1519	Chromosome:1674202-1675011
gene1520	Chromosome:1675017-1676051
gene1521	Chromosome:1676017-1676883
gene1522	Chromosome:1676941-1677375
gene1523	Chromosome:1677397-1678542
gene1524	Chromosome:1678552-1678908
gene1525	Chromosome:1678942-1679172
gene1526	Chromosome:1679322-1680629
gene1527	Chromosome:1681208-1681966
gene1528	Chromosome:1682157-1684004
gene1529	Chromosome:1684005-1686257
gene1530	Chromosome:1686271-1686573
gene1531	Chromosome:1686570-1686887
gene1532	Chromosome:1686884-1687888
gene1533	Chromosome:1687941-1689230
gene1534	Chromosome:1689303-1689920
gene1535	Chromosome:1690134-1690346
gene1536	Chromosome:1690407-1690805
gene1537	Chromosome:1690850-1691878
gene1538	Chromosome:1691890-1692711
gene1539	Chromosome:1692924-1693823
gene1541	Chromosome:1695281-1695946
gene1542	Chromosome:1695943-1696443
gene1543	Chromosome:1696727-1697422
gene1544	Chromosome:1697356-1697859
gene1545	Chromosome:1698095-1699894
gene1546	Chromosome:1699866-1700228
gene1547	Chromosome:1700212-1701093
gene1548	Chromosome:1701295-1702593
gene1549	Chromosome:1703074-1704096
gene1550	Chromosome:1704093-1705061
gene1551	Chromosome:1705058-1705789
gene1552	Chromosome:1705807-1706595
gene1553	Chromosome:1706630-1707526
gene1554	Chromosome:1707529-1708539
gene1555	Chromosome:1708871-1709635
gene1556	Chromosome:1709644-1710603
gene1557	Chromosome:1710733-1711002
gene1558	Chromosome:1711028-1712068
gene1559	Chromosome:1712302-1714053
gene1560	Chromosome:1714172-1717612
gene1561	Chromosome:1717653-1718696
gene1562	Chromosome:1718726-1719970
gene1563	Chromosome:1720017-1720802
gene1564	Chromosome:1720780-1722060
gene1565	Chromosome:1722083-1728409
gene1566	Chromosome:1728953-1729450
gene1567	Chromosome:1729502-1731256
gene1568	Chromosome:1731373-1732476
gene1569	Chromosome:1732473-1733039
gene1570	Chromosome:1733116-1733550
gene1571	Chromosome:1733610-1734737
gene1572	Chromosome:1734734-1735411
gene1573	Chromosome:1735976-1736212
gene1574	Chromosome:1736519-1739644
gene1575	Chromosome:1739856-1741247
gene1576	Chromosome:1741212-1742192
gene1577	Chromosome:1742244-1742852
gene1578	Chromosome:1742845-1743771
gene1579	Chromosome:1743778-1744371
gene1580	Chromosome:1744426-1744836
gene1581	Chromosome:1745064-1746089
gene1582	Chromosome:1746094-1746897
gene1583	Chromosome:1746919-1747146
gene1584	Chromosome:1747195-1747626
gene1585	Chromosome:1747694-1751248
gene1586	Chromosome:1751297-1753333
gene1587	Chromosome:1753716-1755431
gene1588	Chromosome:1755445-1757310
gene1589	Chromosome:1757681-1759432
gene1590	Chromosome:1759435-1760178
gene1591	Chromosome:1760175-1760555
gene1592	Chromosome:1760552-1760929
gene1593	Chromosome:1760997-1761605
gene1594	Chromosome:1761744-1762937
gene1595	Chromosome:1762947-1763393
gene1596	Chromosome:1763428-1764717
gene1597	Chromosome:1764755-1764973
gene1598	Chromosome:1764979-1765383
gene1599	Chromosome:1765400-1767142
gene1600	Chromosome:1767135-1769432
gene1601	Chromosome:1769436-1771601
gene1602	Chromosome:1771640-1773829
gene1603	Chromosome:1773928-1774620
gene1604	Chromosome:1774860-1775144
gene1605	Chromosome:1775392-1776705
gene1606	Chromosome:1776702-1777862
gene1607	Chromosome:1777859-1778539
gene1608	Chromosome:1778539-1779048
gene1609	Chromosome:1779314-1779724
gene1610	Chromosome:1779930-1780241
gene1611	Chromosome:1780199-1780699
gene1612	Chromosome:1780643-1782064
gene1613	Chromosome:1782072-1782584
gene1614	Chromosome:1782758-1783228
gene1615	Chromosome:1783309-1783623
gene1616	Chromosome:1783620-1783892
gene1617	Chromosome:1783906-1784301
gene1618	Chromosome:1784497-1785912
gene1619	Chromosome:1785912-1786310
gene1620	Chromosome:1786307-1786528
gene1621	Chromosome:1786584-1787099
gene1622	Chromosome:1787096-1788505
gene1623	Chromosome:1788162-1789163
gene1624	Chromosome:1789168-1789836
gene1625	Chromosome:1790284-1791333
gene1626	Chromosome:1791334-1791573
