CP003351.2	CP003351:1-1335
CP003351.1526	CP003351:791157-792113
CP003351.1528	CP003351:792284-792652
CP003351.1530	CP003351:792822-793253
CP003351.1532	CP003351:793274-794233
CP003351.1534	CP003351:794238-794639
CP003351.1536	CP003351:794640-796832
CP003351.1538	CP003351:796858-797820
CP003351.1540	CP003351:797834-799195
CP003351.1542	CP003351:799221-800309
CP003351.1544	CP003351:800324-801544
CP003351.1546	CP003351:801700-803025
CP003351.1548	CP003351:803048-804289
CP003351.1550	CP003351:804306-804983
CP003351.1552	CP003351:804997-805596
CP003351.1554	CP003351:805947-806729
CP003351.1556	CP003351:806750-807457
CP003351.1558	CP003351:807719-810517
CP003351.1560	CP003351:810566-812092
CP003351.1562	CP003351:812107-812754
CP003351.1564	CP003351:812938-813279
CP003351.1566	CP003351:813444-814172
CP003351.1568	CP003351:814188-815201
CP003351.1570	CP003351:815201-816478
CP003351.1572	CP003351:816541-818529
CP003351.1574	CP003351:818608-819243
CP003351.1576	CP003351:819395-819712
CP003351.1578	CP003351:819742-820062
CP003351.1580	CP003351:820170-821630
CP003351.1582	CP003351:821698-821919
CP003351.1584	CP003351:821950-822132
CP003351.1586	CP003351:822132-822545
CP003351.1588	CP003351:822668-823849
CP003351.1590	CP003351:823920-824084
CP003351.1592	CP003351:824237-824312
CP003351.1594	CP003351:824380-825519
CP003351.1596	CP003351:825691-825825
CP003351.1598	CP003351:825818-826453
CP003351.1600	CP003351:826566-827201
CP003351.1602	CP003351:827235-827525
CP003351.1604	CP003351:827522-827695
CP003351.1606	CP003351:827825-828256
CP003351.1608	CP003351:828274-828594
CP003351.1610	CP003351:828893-829669
CP003351.1612	CP003351:829684-829887
CP003351.1614	CP003351:829903-830241
CP003351.1616	CP003351:830228-830407
CP003351.1618	CP003351:830450-830953
CP003351.1620	CP003351:831007-831705
CP003351.1622	CP003351:831883-832224
CP003351.1624	CP003351:832217-832888
CP003351.1626	CP003351:832894-833580
CP003351.1628	CP003351:833583-834332
CP003351.1630	CP003351:834344-834613
CP003351.1632	CP003351:834618-834782
CP003351.1634	CP003351:834775-835077
CP003351.1636	CP003351:835074-835235
CP003351.1638	CP003351:835238-835537
CP003351.1640	CP003351:835537-835893
CP003351.1642	CP003351:835853-836098
CP003351.1644	CP003351:836095-836514
CP003351.1646	CP003351:836511-837068
CP003351.1648	CP003351:837065-837361
CP003351.1650	CP003351:837438-837851
CP003351.1652	CP003351:838160-838312
CP003351.1654	CP003351:838309-838584
CP003351.1656	CP003351:839440-839607
CP003351.1658	CP003351:839633-839977
CP003351.1660	CP003351:839982-840263
CP003351.1662	CP003351:840366-840680
CP003351.1664	CP003351:840658-842352
CP003351.1666	CP003351:842372-843550
CP003351.1668	CP003351:843513-844199
CP003351.1670	CP003351:844199-845359
CP003351.1672	CP003351:845369-846244
CP003351.1674	CP003351:846241-846552
CP003351.1676	CP003351:846542-846895
CP003351.1678	CP003351:846885-847286
CP003351.1680	CP003351:847279-847683
CP003351.1682	CP003351:847695-848276
CP003351.1684	CP003351:848322-848684
CP003351.1686	CP003351:848887-852318
CP003351.1688	CP003351:852369-853106
CP003351.1690	CP003351:853116-855407
CP003351.1692	CP003351:855431-857512
CP003351.1694	CP003351:857675-858121
CP003351.1696	CP003351:858123-858260
CP003351.1698	CP003351:858298-858591
CP003351.1700	CP003351:858615-858812
CP003351.1702	CP003351:858823-859842
CP003351.1704	CP003351:860032-860105
CP003351.1706	CP003351:860782-861072
CP003351.1708	CP003351:861108-861944
CP003351.1710	CP003351:862029-862523
CP003351.1712	CP003351:862867-863274
CP003351.1714	CP003351:863288-863689
CP003351.1716	CP003351:863691-864062
CP003351.1718	CP003351:864098-864400
CP003351.1720	CP003351:864620-864862
CP003351.1722	CP003351:865203-866417
CP003351.1724	CP003351:866448-867875
CP003351.1726	CP003351:867898-868824
CP003351.1728	CP003351:869032-870492
CP003351.1730	CP003351:870713-872476
CP003351.1732	CP003351:872560-873018
CP003351.1734	CP003351:873127-873810
CP003351.1736	CP003351:873957-874571
CP003351.1738	CP003351:874587-874793
CP003351.1740	CP003351:875310-876473
CP003351.1742	CP003351:876565-877362
CP003351.1744	CP003351:877534-878295
CP003351.1746	CP003351:878497-878994
CP003351.1748	CP003351:878991-879713
CP003351.1750	CP003351:879917-881953
CP003351.1752	CP003351:882062-883213
CP003351.1754	CP003351:883367-883897
CP003351.1756	CP003351:883996-884346
CP003351.1758	CP003351:884503-886032
CP003351.1760	CP003351:886042-886605
CP003351.1762	CP003351:886749-887411
CP003351.1764	CP003351:887595-889241
CP003351.1766	CP003351:889232-890314
CP003351.1768	CP003351:890422-891975
CP003351.1770	CP003351:892123-893292
CP003351.1772	CP003351:893418-894455
CP003351.1774	CP003351:894606-895046
CP003351.1776	CP003351:895103-895513
CP003351.1778	CP003351:895694-896128
CP003351.1780	CP003351:896228-897076
CP003351.1782	CP003351:897465-899231
CP003351.1784	CP003351:899333-900592
CP003351.1786	CP003351:900739-902040
CP003351.1788	CP003351:902043-902894
CP003351.1790	CP003351:902907-903722
CP003351.1792	CP003351:903873-905039
CP003351.1794	CP003351:905269-905916
CP003351.1796	CP003351:906000-906944
CP003351.1798	CP003351:907079-908530
CP003351.1800	CP003351:908551-909387
CP003351.1802	CP003351:909387-910046
CP003351.1804	CP003351:910172-910861
CP003351.1806	CP003351:910867-911823
CP003351.1808	CP003351:911867-912379
CP003351.1810	CP003351:912635-913183
CP003351.1812	CP003351:913272-914453
CP003351.1814	CP003351:914689-916197
CP003351.1816	CP003351:916356-916547
CP003351.1818	CP003351:916750-917667
CP003351.1820	CP003351:917660-918733
CP003351.1822	CP003351:918881-919399
CP003351.1824	CP003351:919380-919772
CP003351.1826	CP003351:919848-920783
CP003351.1828	CP003351:920916-921695
CP003351.1830	CP003351:921688-922005
CP003351.1832	CP003351:922249-923859
CP003351.1834	CP003351:924016-924864
CP003351.1836	CP003351:924983-926278
CP003351.1838	CP003351:926606-927085
CP003351.1840	CP003351:927118-929346
CP003351.1842	CP003351:929475-931118
CP003351.1844	CP003351:931191-931736
CP003351.1846	CP003351:931759-932244
CP003351.1848	CP003351:932234-933046
CP003351.1850	CP003351:933185-934717
CP003351.1852	CP003351:934826-935857
CP003351.1854	CP003351:936581-937567
CP003351.1856	CP003351:937716-938036
CP003351.1858	CP003351:938009-939055
CP003351.1860	CP003351:939060-939734
CP003351.1862	CP003351:939956-941029
CP003351.1864	CP003351:941035-941721
CP003351.1866	CP003351:941729-942376
CP003351.1868	CP003351:942449-943840
CP003351.1870	CP003351:944097-947486
CP003351.1872	CP003351:947489-948910
CP003351.1874	CP003351:948907-950784
CP003351.1876	CP003351:950876-951718
CP003351.1878	CP003351:951870-952745
CP003351.1880	CP003351:952952-953983
CP003351.1882	CP003351:954072-954377
CP003351.1884	CP003351:954556-956571
CP003351.1886	CP003351:956573-956857
CP003351.1888	CP003351:956883-958256
CP003351.1890	CP003351:958339-958938
CP003351.1892	CP003351:959077-960354
CP003351.1894	CP003351:960376-961584
CP003351.1896	CP003351:961811-962755
CP003351.1898	CP003351:962800-962973
CP003351.1900	CP003351:963051-963995
CP003351.1903	CP003351:964662-965060
CP003351.1905	CP003351:965057-965293
CP003351.1907	CP003351:965453-965770
CP003351.1909	CP003351:965908-968136
CP003351.1911	CP003351:968310-968720
CP003351.1913	CP003351:968837-970000
CP003351.1915	CP003351:970178-971032
CP003351.1917	CP003351:971311-972081
CP003351.1919	CP003351:972084-972965
CP003351.1921	CP003351:972962-974011
CP003351.1923	CP003351:974461-975084
CP003351.1925	CP003351:975134-976087
CP003351.1927	CP003351:976328-978034
CP003351.1929	CP003351:978192-979094
CP003351.1931	CP003351:979091-979795
CP003351.1933	CP003351:979826-980467
CP003351.1935	CP003351:980807-981436
CP003351.1937	CP003351:981443-982159
CP003351.1939	CP003351:982156-983088
CP003351.1941	CP003351:983085-983861
CP003351.1943	CP003351:983915-987100
CP003351.1945	CP003351:987105-988181
CP003351.1947	CP003351:988186-989466
CP003351.1949	CP003351:989485-990411
CP003351.1951	CP003351:990424-991707
CP003351.1953	CP003351:991721-992260
CP003351.1955	CP003351:992495-993406
CP003351.1957	CP003351:993403-993867
CP003351.1959	CP003351:993872-994570
CP003351.1961	CP003351:994557-994943
CP003351.1963	CP003351:995090-996760
CP003351.1965	CP003351:996943-997176
CP003351.1967	CP003351:997275-997706
CP003351.1969	CP003351:997785-998198
CP003351.1971	CP003351:998236-999384
CP003351.1973	CP003351:999506-1000102
CP003351.1975	CP003351:1000302-1002944
CP003351.1977	CP003351:1003332-1003763
CP003351.1979	CP003351:1003808-1005157
CP003351.1981	CP003351:1005227-1006390
CP003351.1983	CP003351:1006519-1006842
CP003351.1985	CP003351:1007025-1008374
CP003351.1987	CP003351:1008443-1009396
CP003351.1989	CP003351:1009498-1010688
CP003351.1991	CP003351:1011112-1011333
CP003351.1993	CP003351:1011333-1012016
CP003351.1995	CP003351:1012097-1013593
CP003351.1997	CP003351:1013639-1014805
CP003351.1999	CP003351:1015403-1015822
CP003351.2001	CP003351:1015912-1016451
CP003351.2003	CP003351:1016515-1017162
CP003351.2005	CP003351:1017152-1019533
CP003351.2007	CP003351:1019866-1020363
CP003351.2009	CP003351:1020489-1021166
CP003351.2011	CP003351:1021173-1021871
CP003351.2013	CP003351:1022139-1023323
CP003351.2015	CP003351:1023329-1023772
CP003351.2017	CP003351:1023998-1024285
CP003351.2019	CP003351:1024456-1025808
CP003351.2021	CP003351:1026081-1026527
CP003351.2023	CP003351:1026763-1027689
CP003351.2025	CP003351:1027829-1028716
CP003351.2027	CP003351:1028898-1029851
CP003351.2029	CP003351:1030029-1032026
CP003351.2031	CP003351:1032128-1032379
CP003351.2033	CP003351:1032526-1033149
CP003351.2035	CP003351:1033329-1033547
CP003351.2037	CP003351:1033836-1034348
CP003351.2039	CP003351:1034362-1036659
CP003351.2041	CP003351:1036801-1037235
CP003351.2043	CP003351:1037245-1038033
CP003351.2045	CP003351:1038030-1038971
CP003351.2047	CP003351:1039148-1039735
CP003351.2049	CP003351:1039956-1041269
CP003351.2051	CP003351:1041557-1042567
CP003351.2053	CP003351:1042652-1043587
CP003351.2055	CP003351:1043773-1044546
CP003351.2057	CP003351:1044826-1045920
CP003351.2059	CP003351:1046109-1046870
CP003351.2061	CP003351:1046985-1047425
CP003351.2063	CP003351:1047645-1048400
CP003351.2065	CP003351:1048510-1049523
CP003351.2067	CP003351:1049688-1050608
CP003351.2069	CP003351:1050888-1051388
CP003351.2071	CP003351:1051495-1052013
CP003351.2073	CP003351:1052014-1053369
CP003351.2075	CP003351:1053372-1054205
CP003351.2077	CP003351:1054355-1055011
CP003351.2079	CP003351:1055027-1055674
CP003351.2081	CP003351:1055687-1056502
CP003351.2083	CP003351:1056516-1057253
CP003351.2085	CP003351:1057507-1058517
CP003351.2087	CP003351:1058687-1061107
CP003351.2089	CP003351:1061112-1062155
CP003351.2091	CP003351:1062464-1062805
CP003351.2093	CP003351:1062874-1066596
CP003351.2095	CP003351:1066593-1070120
CP003351.2097	CP003351:1070391-1070645
CP003351.2099	CP003351:1070810-1071379
CP003351.2101	CP003351:1071820-1073286
CP003351.2103	CP003351:1073673-1074269
CP003351.2105	CP003351:1074327-1074809
CP003351.2107	CP003351:1074915-1075112
CP003351.2109	CP003351:1075407-1076165
CP003351.2111	CP003351:1076225-1076653
CP003351.2113	CP003351:1076699-1076771
CP003351.2115	CP003351:1076921-1077292
CP003351.2117	CP003351:1077507-1077692
CP003351.2119	CP003351:1077775-1077963
CP003351.2121	CP003351:1077987-1078250
CP003351.2123	CP003351:1078408-1078665
CP003351.2125	CP003351:1078736-1078927
CP003351.2127	CP003351:1079068-1079388
CP003351.2129	CP003351:1079411-1079845
CP003351.2131	CP003351:1080180-1080818
CP003351.2133	CP003351:1081141-1081226
CP003351.2135	CP003351:1081753-1082253
CP003351.2137	CP003351:1082443-1082787
CP003351.2139	CP003351:1082941-1083879
CP003351.2141	CP003351:1084048-1084539
CP003351.2143	CP003351:1084563-1086938
CP003351.2145	CP003351:1087264-1087890
CP003351.2147	CP003351:1087913-1088617
CP003351.2149	CP003351:1088809-1089642
CP003351.2151	CP003351:1089839-1091767
CP003351.2153	CP003351:1091905-1092360
CP003351.2155	CP003351:1092830-1093099
CP003351.2157	CP003351:1093499-1093753
CP003351.2159	CP003351:1093842-1094888
CP003351.2161	CP003351:1094926-1097199
CP003351.2163	CP003351:1097192-1097731
CP003351.2165	CP003351:1097867-1098085
CP003351.2167	CP003351:1098082-1098327
CP003351.2169	CP003351:1098443-1099060
CP003351.2171	CP003351:1099330-1100373
CP003351.2173	CP003351:1100363-1100854
CP003351.2175	CP003351:1100851-1101411
CP003351.2177	CP003351:1101530-1101868
CP003351.2179	CP003351:1101852-1102298
CP003351.2181	CP003351:1102279-1103403
CP003351.2183	CP003351:1103424-1106852
CP003351.2185	CP003351:1106878-1108041
CP003351.2187	CP003351:1108044-1108346
CP003351.2189	CP003351:1108460-1110232
CP003351.2191	CP003351:1110493-1112322
CP003351.2193	CP003351:1112490-1113248
CP003351.2195	CP003351:1113263-1113538
CP003351.2197	CP003351:1113700-1115106
CP003351.2199	CP003351:1115114-1116757
CP003351.2201	CP003351:1116782-1117759
CP003351.2203	CP003351:1117762-1118871
CP003351.2205	CP003351:1119332-1120756
CP003351.2207	CP003351:1121020-1121997
CP003351.2209	CP003351:1122254-1123459
CP003351.2211	CP003351:1123461-1124987
CP003351.2213	CP003351:1125041-1126129
CP003351.2215	CP003351:1126349-1127365
CP003351.2217	CP003351:1127379-1128830
CP003351.2219	CP003351:1128823-1130388
CP003351.2221	CP003351:1130521-1131435
CP003351.2223	CP003351:1131557-1132831
CP003351.2225	CP003351:1132847-1134382
CP003351.2227	CP003351:1134379-1134957
CP003351.2229	CP003351:1134954-1136006
CP003351.2231	CP003351:1136029-1137468
CP003351.2233	CP003351:1137453-1139675
CP003351.2235	CP003351:1139676-1140347
CP003351.2237	CP003351:1140349-1140603
CP003351.2239	CP003351:1140603-1141331
CP003351.2241	CP003351:1141587-1141964
CP003351.2243	CP003351:1142178-1143425
CP003351.2245	CP003351:1143664-1144959
CP003351.2247	CP003351:1144972-1146096
CP003351.2249	CP003351:1146089-1146577
CP003351.2251	CP003351:1146993-1148300
CP003351.2253	CP003351:1148303-1148884
CP003351.2255	CP003351:1149456-1150748
CP003351.2257	CP003351:1150745-1151368
CP003351.2259	CP003351:1151371-1152207
CP003351.2261	CP003351:1152224-1153111
CP003351.2263	CP003351:1153127-1154410
CP003351.2265	CP003351:1155093-1155776
CP003351.2267	CP003351:1155794-1156411
CP003351.2269	CP003351:1156421-1157245
CP003351.2271	CP003351:1157238-1157798
CP003351.2273	CP003351:1157972-1158928
CP003351.2275	CP003351:1159233-1160189
CP003351.2277	CP003351:1160293-1160895
CP003351.2279	CP003351:1160983-1162482
CP003351.2281	CP003351:1162498-1163022
CP003351.2283	CP003351:1163197-1164069
CP003351.2285	CP003351:1164060-1164845
CP003351.2287	CP003351:1164814-1165530
CP003351.2289	CP003351:1165632-1166651
CP003351.2291	CP003351:1166670-1167728
CP003351.2293	CP003351:1167949-1169097
CP003351.2295	CP003351:1169173-1170009
CP003351.2297	CP003351:1170193-1171413
CP003351.2299	CP003351:1171559-1171720
CP003351.2301	CP003351:1171793-1171877
CP003351.2303	CP003351:1172116-1172694
CP003351.2305	CP003351:1172697-1173083
CP003351.2307	CP003351:1173243-1174421
CP003351.2309	CP003351:1174505-1174831
CP003351.2311	CP003351:1175031-1175273
CP003351.2313	CP003351:1175545-1175835
CP003351.2315	CP003351:1176043-1176735
CP003351.2317	CP003351:1177130-1177753
CP003351.2319	CP003351:1177837-1178559
CP003351.2321	CP003351:1178549-1179286
CP003351.2323	CP003351:1179298-1180290
CP003351.2325	CP003351:1180305-1181048
CP003351.2327	CP003351:1181289-1182611
CP003351.2329	CP003351:1182598-1183563
CP003351.2331	CP003351:1183560-1185098
CP003351.2333	CP003351:1185514-1185801
CP003351.2335	CP003351:1185935-1186603
CP003351.2337	CP003351:1186894-1187634
CP003351.2339	CP003351:1187764-1188711
CP003351.2341	CP003351:1188840-1189604
CP003351.2343	CP003351:1189608-1189997
CP003351.2345	CP003351:1190132-1190674
CP003351.2347	CP003351:1190822-1191454
CP003351.2349	CP003351:1191847-1192740
CP003351.2351	CP003351:1192922-1193848
CP003351.2353	CP003351:1193933-1194694
CP003351.2355	CP003351:1194938-1197169
CP003351.2357	CP003351:1197446-1199896
CP003351.2359	CP003351:1199908-1201953
CP003351.2361	CP003351:1202119-1202553
CP003351.2363	CP003351:1202680-1203318
CP003351.2365	CP003351:1203450-1204325
CP003351.2367	CP003351:1204407-1205198
CP003351.2369	CP003351:1205216-1206616
CP003351.2371	CP003351:1206630-1207178
CP003351.2373	CP003351:1207215-1208120
CP003351.2375	CP003351:1208318-1209643
CP003351.2377	CP003351:1209663-1211741
CP003351.2379	CP003351:1211863-1212720
CP003351.2381	CP003351:1212776-1213543
CP003351.2383	CP003351:1213536-1214396
CP003351.2385	CP003351:1214656-1215054
CP003351.2387	CP003351:1215290-1215832
CP003351.2389	CP003351:1215915-1216466
CP003351.2391	CP003351:1216618-1216845
CP003351.2393	CP003351:1216842-1217360
CP003351.2395	CP003351:1217380-1218093
CP003351.2397	CP003351:1218096-1218992
CP003351.2399	CP003351:1219150-1219992
CP003351.2401	CP003351:1220124-1220777
CP003351.2403	CP003351:1220840-1221367
CP003351.2405	CP003351:1221387-1222334
CP003351.2407	CP003351:1222346-1224232
CP003351.2409	CP003351:1224392-1226470
CP003351.2411	CP003351:1226483-1226758
CP003351.2413	CP003351:1227120-1227575
CP003351.2415	CP003351:1227729-1228937
CP003351.2417	CP003351:1229049-1229381
CP003351.2419	CP003351:1229529-1230404
CP003351.2421	CP003351:1230486-1231067
CP003351.2423	CP003351:1231073-1232332
CP003351.2425	CP003351:1232334-1233380
CP003351.2427	CP003351:1233615-1233890
CP003351.2429	CP003351:1234133-1235443
CP003351.2431	CP003351:1235625-1236854
CP003351.2433	CP003351:1236989-1237669
CP003351.2435	CP003351:1237718-1238353
CP003351.2437	CP003351:1238419-1239822
CP003351.2439	CP003351:1239809-1240840
CP003351.2441	CP003351:1240871-1241092
CP003351.2443	CP003351:1241257-1241994
CP003351.2445	CP003351:1242147-1243487
CP003351.2447	CP003351:1243724-1245247
CP003351.2449	CP003351:1245625-1246236
CP003351.2451	CP003351:1246566-1247282
CP003351.2453	CP003351:1247288-1247857
CP003351.2455	CP003351:1247841-1248638
CP003351.2457	CP003351:1248608-1248979
CP003351.2459	CP003351:1248998-1249885
CP003351.2461	CP003351:1249842-1250012
CP003351.2463	CP003351:1249981-1250448
CP003351.2465	CP003351:1250559-1251422
CP003351.2467	CP003351:1251618-1253720
CP003351.2469	CP003351:1253937-1255046
CP003351.2471	CP003351:1255070-1256911
CP003351.2473	CP003351:1257093-1259408
CP003351.2475	CP003351:1259593-1260453
CP003351.2477	CP003351:1260512-1261144
CP003351.2479	CP003351:1261353-1262072
CP003351.2481	CP003351:1262098-1264689
CP003351.2483	CP003351:1264877-1266064
CP003351.2485	CP003351:1266432-1266788
CP003351.2487	CP003351:1267029-1268033
CP003351.2489	CP003351:1268199-1269050
CP003351.2491	CP003351:1269067-1269312
CP003351.2493	CP003351:1269499-1270203
CP003351.2495	CP003351:1270533-1272974
CP003351.2497	CP003351:1273159-1274313
CP003351.2499	CP003351:1274335-1275087
CP003351.2501	CP003351:1275451-1278117
CP003351.2503	CP003351:1278458-1279909
CP003351.2505	CP003351:1280238-1281053
CP003351.2507	CP003351:1281347-1281622
CP003351.2509	CP003351:1282049-1282504
CP003351.2511	CP003351:1282584-1283333
CP003351.2513	CP003351:1283334-1283660
CP003351.2515	CP003351:1283808-1284248
CP003351.2517	CP003351:1284329-1285726
CP003351.2519	CP003351:1285879-1287150
CP003351.2521	CP003351:1287277-1287996
CP003351.2523	CP003351:1288374-1289348
CP003351.2525	CP003351:1289401-1290006
CP003351.2527	CP003351:1290100-1290852
CP003351.2529	CP003351:1290866-1291126
CP003351.2531	CP003351:1291148-1292509
CP003351.2533	CP003351:1292582-1292881
CP003351.2535	CP003351:1293291-1294541
CP003351.2537	CP003351:1294684-1295016
CP003351.2539	CP003351:1295016-1296878
CP003351.2541	CP003351:1297084-1298058
CP003351.2543	CP003351:1298269-1299447
CP003351.2545	CP003351:1299671-1299865
CP003351.2547	CP003351:1300134-1300427
CP003351.2549	CP003351:1300529-1300963
CP003351.2551	CP003351:1301195-1301905
CP003351.2553	CP003351:1301895-1302755
CP003351.2555	CP003351:1302760-1303398
CP003351.2557	CP003351:1303413-1303712
CP003351.2559	CP003351:1303755-1305239
CP003351.2561	CP003351:1305259-1305720
CP003351.2563	CP003351:1305738-1306805
CP003351.2565	CP003351:1307023-1307793
CP003351.2567	CP003351:1308066-1308893
CP003351.2569	CP003351:1309461-1310696
CP003351.2571	CP003351:1311695-1311955
CP003351.2573	CP003351:1311982-1313283
CP003351.2575	CP003351:1313575-1314033
CP003351.2577	CP003351:1314046-1315371
CP003351.2579	CP003351:1315388-1316800
CP003351.2581	CP003351:1316817-1317581
CP003351.2583	CP003351:1317685-1318560
CP003351.2585	CP003351:1318814-1318900
CP003351.2587	CP003351:1318916-1318989
CP003351.2589	CP003351:1318997-1319070
CP003351.2591	CP003351:1319131-1319217
CP003351.2593	CP003351:1319237-1319307
CP003351.2595	CP003351:1319352-1319425
CP003351.2597	CP003351:1319435-1319508
CP003351.2599	CP003351:1319511-1319584
CP003351.2601	CP003351:1319590-1319672
CP003351.2603	CP003351:1319673-1319748
CP003351.2605	CP003351:1319782-1319857
CP003351.2607	CP003351:1319865-1319939
CP003351.2609	CP003351:1319953-1320026
CP003351.2611	CP003351:1320039-1320130
CP003351.2613	CP003351:1320168-1320243
CP003351.2615	CP003351:1320251-1320366
CP003351.2617	CP003351:1320461-1323372
CP003351.2619	CP003351:1323822-1325369
CP003351.2621	CP003351:1326062-1327567
CP003351.2623	CP003351:1327564-1328250
CP003351.2625	CP003351:1328443-1329864
CP003351.2627	CP003351:1330034-1330213
CP003351.2629	CP003351:1330271-1330840
CP003351.2631	CP003351:1331026-1331928
CP003351.2633	CP003351:1331963-1333747
CP003351.2635	CP003351:1333821-1334783
CP003351.2637	CP003351:1334951-1338265
CP003351.2639	CP003351:1338496-1338681
CP003351.2641	CP003351:1338743-1339939
CP003351.2643	CP003351:1340109-1341653
CP003351.2645	CP003351:1341838-1342647
CP003351.2647	CP003351:1342931-1344121
CP003351.2649	CP003351:1344343-1346496
CP003351.2651	CP003351:1346790-1347638
CP003351.2653	CP003351:1347862-1349802
CP003351.2655	CP003351:1350139-1350318
CP003351.2657	CP003351:1350365-1352188
CP003351.2659	CP003351:1352466-1354745
CP003351.2661	CP003351:1354838-1355485
CP003351.2663	CP003351:1355664-1356383
CP003351.2665	CP003351:1356514-1357665
CP003351.2667	CP003351:1357882-1358622
CP003351.2669	CP003351:1358626-1358886
CP003351.2671	CP003351:1359006-1359599
CP003351.2673	CP003351:1359583-1360233
CP003351.2675	CP003351:1360243-1360554
CP003351.2677	CP003351:1360570-1361679
CP003351.2679	CP003351:1361676-1362203
CP003351.2681	CP003351:1362383-1363168
CP003351.2683	CP003351:1363161-1364030
CP003351.2685	CP003351:1364031-1365410
CP003351.2687	CP003351:1365418-1365837
CP003351.2689	CP003351:1365862-1366338
CP003351.2691	CP003351:1366341-1367576
CP003351.2693	CP003351:1367595-1368332
CP003351.2695	CP003351:1368344-1369261
CP003351.2697	CP003351:1369368-1369592
CP003351.2699	CP003351:1369645-1370607
CP003351.2701	CP003351:1370617-1371057
CP003351.2703	CP003351:1371363-1372328
CP003351.2705	CP003351:1372385-1372615
CP003351.2707	CP003351:1372701-1373588
CP003351.2709	CP003351:1373677-1374900
CP003351.2711	CP003351:1374917-1375963
CP003351.2713	CP003351:1376127-1377854
CP003351.2715	CP003351:1377854-1378120
CP003351.2717	CP003351:1378737-1380833
CP003351.2719	CP003351:1380981-1381301
CP003351.2721	CP003351:1381506-1381730
CP003351.2723	CP003351:1381928-1383508
CP003351.2725	CP003351:1383909-1385285
CP003351.2727	CP003351:1385413-1386531
CP003351.2729	CP003351:1386673-1387107
CP003351.2731	CP003351:1387185-1387718
CP003351.2733	CP003351:1387812-1388990
CP003351.2735	CP003351:1388983-1389780
CP003351.2737	CP003351:1389887-1391269
CP003351.2739	CP003351:1391443-1392021
CP003351.2741	CP003351:1392343-1392813
CP003351.2743	CP003351:1392921-1394147
CP003351.2745	CP003351:1394901-1395101
CP003351.2747	CP003351:1395235-1395843
CP003351.2749	CP003351:1395928-1396398
CP003351.2751	CP003351:1396446-1397345
CP003351.2753	CP003351:1397506-1398309
CP003351.2755	CP003351:1398487-1399434
CP003351.2757	CP003351:1399502-1399795
CP003351.2759	CP003351:1399823-1400488
CP003351.2761	CP003351:1400628-1401260
CP003351.2763	CP003351:1401267-1402334
CP003351.2765	CP003351:1402331-1403062
CP003351.2767	CP003351:1403231-1403710
CP003351.2769	CP003351:1403846-1405021
CP003351.2771	CP003351:1405225-1406394
CP003351.2773	CP003351:1406661-1408283
CP003351.2775	CP003351:1408780-1409433
CP003351.2777	CP003351:1409430-1410383
CP003351.2779	CP003351:1410872-1412167
CP003351.2781	CP003351:1412341-1413288
CP003351.2783	CP003351:1413293-1414045
CP003351.2785	CP003351:1414046-1414789
CP003351.2787	CP003351:1414953-1415930
CP003351.2789	CP003351:1415943-1417085
CP003351.2791	CP003351:1417075-1417752
CP003351.2793	CP003351:1417725-1418873
CP003351.2795	CP003351:1418870-1419874
CP003351.2797	CP003351:1419886-1420893
CP003351.2799	CP003351:1420906-1422327
CP003351.2801	CP003351:1422314-1422826
CP003351.2803	CP003351:1422871-1423383
CP003351.2805	CP003351:1423385-1424443
CP003351.2807	CP003351:1424430-1424810
CP003351.2809	CP003351:1424803-1425765
CP003351.2811	CP003351:1425731-1425850
CP003351.2813	CP003351:1425798-1426883
CP003351.2815	CP003351:1426902-1427942
CP003351.2817	CP003351:1427958-1429349
CP003351.2819	CP003351:1429727-1430710
CP003351.2821	CP003351:1431078-1433216
CP003351.2823	CP003351:1433255-1434841
CP003351.2825	CP003351:1434831-1436051
CP003351.2827	CP003351:1436063-1436869
CP003351.2829	CP003351:1437079-1438359
CP003351.2831	CP003351:1438403-1440436
CP003351.2833	CP003351:1440471-1441322
CP003351.2835	CP003351:1441420-1442448
CP003351.2837	CP003351:1442470-1443042
CP003351.2839	CP003351:1443056-1443922
CP003351.2841	CP003351:1444022-1444729
CP003351.2843	CP003351:1444734-1445561
CP003351.2845	CP003351:1445561-1446361
CP003351.2847	CP003351:1446354-1447493
CP003351.2849	CP003351:1447569-1448492
CP003351.2851	CP003351:1448524-1449288
CP003351.2853	CP003351:1449446-1449886
CP003351.2855	CP003351:1450064-1450633
CP003351.2857	CP003351:1450887-1452119
CP003351.2859	CP003351:1452235-1453425
CP003351.2861	CP003351:1454384-1454686
CP003351.2863	CP003351:1454722-1455093
CP003351.2865	CP003351:1455095-1455496
CP003351.2867	CP003351:1455510-1455917
CP003351.2869	CP003351:1456261-1456755
CP003351.2871	CP003351:1456840-1457676
CP003351.2873	CP003351:1457712-1458002
CP003351.2875	CP003351:1458679-1458752
CP003351.2877	CP003351:1458942-1459961
CP003351.2879	CP003351:1459972-1460169
CP003351.2881	CP003351:1460193-1460486
CP003351.2883	CP003351:1460524-1460661
CP003351.2885	CP003351:1460663-1461109
CP003351.2887	CP003351:1461272-1463353
CP003351.2889	CP003351:1463377-1465668
CP003351.2891	CP003351:1465678-1466415
CP003351.2893	CP003351:1466466-1469897
CP003351.2895	CP003351:1470100-1470462
CP003351.2897	CP003351:1470508-1471089
CP003351.2899	CP003351:1471101-1471505
